Fuel/Gas,fnrb,wood_equivalent,NCV ,CO2,CH4,NO2,CO,NMHC,BC,OC,SO2,CO2eq_gwp100,CO2eq_gwp20
Coal,1,NA,20.7,97.5,0.3,0.0015,0.998550724637681,0.077294685990338,0.148792270531401,0.113526570048309,0.007246376811594,238.461335748792,462.078485507247
Firewood,0.34,1,15.6,112,0.3,0.004,5,0.6,0.070512820512821,0.137820512820513,0.017307692307692,192.62058974359,313.740717948718
Charcoal,0.34,1.90372881355932,29.5,112,0.2,0.001,7,0.1,0.006101694915254,0.008474576271186,0.013559322033898,138.38113559322,194.720118644068
Kerosene,1,NA,43.8,71.9,0.01,0.0006,0.128995433789954,0.115296803652968,0.000684931506849,0.000913242009132,0.000684931506849,73.5825260273973,75.6367589041096
LPG,1,NA,47.3,63.1,0.005,0.0001,0.078012684989429,0.1553911205074,0.001479915433404,0.001479915433404,0,65.2468845665962,67.8919046511628
Gas,1,NA,48,56.1,0.005,0.0001,0.05,0.05,0.001458333333333,0.001458333333333,0,57.8082583333333,60.2680916666667
Diesel,1,NA,43,74.1,0.01,0.0006,1,0.2,0.020058139534884,0.028837209302326,0.006928018604651,94.2579826976744,124.345906772093
Paraffin,1,NA,40.2,73.3,0.01,0.0006,0.128995433789954,0.115296803652968,0.000684931506849,0.000995024875622,0.000746268656716,74.9778235125741,77.0103021468002
