Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Age-Specific Fertility Rate"
"Number of births occurring to women in a particular age group during a five-year period divided by the number of women in that age group. Available in all scenarios, and at all geographical scales. It is expressed in births per 1,000 women. <br><br> Source for 1950 to 2015: <a href=""http://esa.un.org/wpp/documentation/WPP%202010%20publications.htm"">UN Population Division, World Population Prospects 2017</a>"
"Multiple Scenarios"
" "
"Scenario","Area","Period","Age","Rate"
"SSP3","Zambia","2050-2055","20--24",252
"SSP3","Zambia","2015-2020","25--29",279
"SSP3","Zambia","2020-2025","25--29",281
"SSP3","Zambia","2025-2030","25--29",288
"SSP3","Zambia","2030-2035","25--29",289
"SSP3","Zambia","2035-2040","25--29",284
"SSP3","Zambia","2040-2045","25--29",270
"SSP3","Zambia","2045-2050","25--29",252
"SSP3","Zambia","2050-2055","25--29",233
"SSP3","Zambia","2015-2020","30--34",207
"SSP3","Zambia","2020-2025","30--34",208
"SSP3","Zambia","2025-2030","30--34",198
"SSP3","Zambia","2030-2035","30--34",188
"SSP3","Zambia","2035-2040","30--34",171
"SSP3","Zambia","2040-2045","30--34",156
"SSP3","Zambia","2045-2050","30--34",141
"SSP3","Zambia","2050-2055","30--34",127
"SSP3","Zambia","2015-2020","35--39",142
"SSP3","Zambia","2020-2025","35--39",137
"SSP3","Zambia","2025-2030","35--39",127
"SSP3","Zambia","2030-2035","35--39",116
"SSP3","Zambia","2035-2040","35--39",101
"SSP3","Zambia","2040-2045","35--39",88
"SSP3","Zambia","2045-2050","35--39",77
"SSP3","Zambia","2050-2055","35--39",69
"SSP3","Zambia","2015-2020","40--44",67
"SSP3","Zambia","2020-2025","40--44",64
"SSP3","Zambia","2025-2030","40--44",59
"SSP3","Zambia","2030-2035","40--44",51
"SSP3","Zambia","2035-2040","40--44",44
"SSP3","Zambia","2040-2045","40--44",38
"SSP3","Zambia","2045-2050","40--44",33
"SSP3","Zambia","2050-2055","40--44",28
"SSP3","Zambia","2015-2020","45--49",17
"SSP3","Zambia","2020-2025","45--49",15
"SSP3","Zambia","2025-2030","45--49",13
"SSP3","Zambia","2030-2035","45--49",10
"SSP3","Zambia","2035-2040","45--49",8
"SSP3","Zambia","2040-2045","45--49",7
"SSP3","Zambia","2045-2050","45--49",5
"SSP3","Zambia","2050-2055","45--49",4
