Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Age-Specific Fertility Rate by Education"
"Number of births occurring to women in a particular age group by level of education attainment during a five-year period divided by the number of women in that age group. Available in all scenarios, and at all geographical scales. It is expressed in births per 1,000 women."
"Multiple Scenarios"
" "
"Scenario","Area","Period","Age","Education","Rate"
"SSP2","Zambia","2040-2045","20--24","Post Secondary",50
"SSP2","Zambia","2045-2050","20--24","Post Secondary",47
"SSP2","Zambia","2050-2055","20--24","Post Secondary",44
"SSP2","Zambia","2055-2060","20--24","Post Secondary",41
"SSP2","Zambia","2060-2065","20--24","Post Secondary",39
"SSP2","Zambia","2065-2070","20--24","Post Secondary",37
"SSP2","Zambia","2075-2080","20--24","Post Secondary",34
"SSP2","Zambia","2015-2020","25--29","Post Secondary",155
"SSP2","Zambia","2020-2025","25--29","Post Secondary",159
"SSP2","Zambia","2025-2030","25--29","Post Secondary",155
"SSP2","Zambia","2030-2035","25--29","Post Secondary",156
"SSP2","Zambia","2035-2040","25--29","Post Secondary",160
"SSP2","Zambia","2040-2045","25--29","Post Secondary",158
"SSP2","Zambia","2045-2050","25--29","Post Secondary",154
"SSP2","Zambia","2050-2055","25--29","Post Secondary",148
"SSP2","Zambia","2055-2060","25--29","Post Secondary",142
"SSP2","Zambia","2060-2065","25--29","Post Secondary",137
"SSP2","Zambia","2065-2070","25--29","Post Secondary",132
"SSP2","Zambia","2075-2080","25--29","Post Secondary",124
"SSP2","Zambia","2015-2020","30--34","Post Secondary",144
"SSP2","Zambia","2020-2025","30--34","Post Secondary",144
"SSP2","Zambia","2025-2030","30--34","Post Secondary",140
"SSP2","Zambia","2030-2035","30--34","Post Secondary",137
"SSP2","Zambia","2035-2040","30--34","Post Secondary",138
"SSP2","Zambia","2040-2045","30--34","Post Secondary",138
"SSP2","Zambia","2045-2050","30--34","Post Secondary",132
"SSP2","Zambia","2050-2055","30--34","Post Secondary",126
"SSP2","Zambia","2055-2060","30--34","Post Secondary",121
"SSP2","Zambia","2060-2065","30--34","Post Secondary",116
"SSP2","Zambia","2065-2070","30--34","Post Secondary",112
"SSP2","Zambia","2075-2080","30--34","Post Secondary",108
"SSP2","Zambia","2015-2020","35--39","Post Secondary",112
"SSP2","Zambia","2020-2025","35--39","Post Secondary",102
"SSP2","Zambia","2025-2030","35--39","Post Secondary",99
"SSP2","Zambia","2030-2035","35--39","Post Secondary",98
"SSP2","Zambia","2035-2040","35--39","Post Secondary",87
"SSP2","Zambia","2040-2045","35--39","Post Secondary",75
"SSP2","Zambia","2045-2050","35--39","Post Secondary",69
"SSP2","Zambia","2050-2055","35--39","Post Secondary",64
"SSP2","Zambia","2055-2060","35--39","Post Secondary",60
"SSP2","Zambia","2060-2065","35--39","Post Secondary",56
"SSP2","Zambia","2065-2070","35--39","Post Secondary",53
"SSP2","Zambia","2075-2080","35--39","Post Secondary",51
"SSP2","Zambia","2015-2020","40--44","Post Secondary",63
"SSP2","Zambia","2020-2025","40--44","Post Secondary",57
"SSP2","Zambia","2025-2030","40--44","Post Secondary",55
"SSP2","Zambia","2030-2035","40--44","Post Secondary",50
"SSP2","Zambia","2035-2040","40--44","Post Secondary",42
"SSP2","Zambia","2040-2045","40--44","Post Secondary",37
"SSP2","Zambia","2045-2050","40--44","Post Secondary",33
"SSP2","Zambia","2050-2055","40--44","Post Secondary",29
"SSP2","Zambia","2055-2060","40--44","Post Secondary",26
"SSP2","Zambia","2060-2065","40--44","Post Secondary",24
"SSP2","Zambia","2065-2070","40--44","Post Secondary",21
"SSP2","Zambia","2075-2080","40--44","Post Secondary",18
"SSP2","Zambia","2015-2020","45--49","Post Secondary",16
"SSP2","Zambia","2020-2025","45--49","Post Secondary",13
"SSP2","Zambia","2025-2030","45--49","Post Secondary",13
"SSP2","Zambia","2030-2035","45--49","Post Secondary",10
"SSP2","Zambia","2035-2040","45--49","Post Secondary",9
"SSP2","Zambia","2040-2045","45--49","Post Secondary",7
"SSP2","Zambia","2045-2050","45--49","Post Secondary",6
"SSP2","Zambia","2050-2055","45--49","Post Secondary",6
"SSP2","Zambia","2055-2060","45--49","Post Secondary",5
"SSP2","Zambia","2060-2065","45--49","Post Secondary",4
"SSP2","Zambia","2065-2070","45--49","Post Secondary",4
"SSP2","Zambia","2075-2080","45--49","Post Secondary",1
"SSP1","Zambia","2015-2020","15--19","No Education",134
"SSP1","Zambia","2020-2025","15--19","No Education",113
"SSP1","Zambia","2025-2030","15--19","No Education",95
"SSP1","Zambia","2030-2035","15--19","No Education",78
"SSP1","Zambia","2035-2040","15--19","No Education",64
"SSP1","Zambia","2040-2045","15--19","No Education",53
"SSP1","Zambia","2045-2050","15--19","No Education",44
"SSP1","Zambia","2050-2055","15--19","No Education",37
"SSP1","Zambia","2055-2060","15--19","No Education",32
"SSP1","Zambia","2060-2065","15--19","No Education",27
"SSP1","Zambia","2065-2070","15--19","No Education",25
"SSP1","Zambia","2075-2080","15--19","No Education",20
"SSP1","Zambia","2015-2020","20--24","No Education",373
"SSP1","Zambia","2020-2025","20--24","No Education",344
"SSP1","Zambia","2025-2030","20--24","No Education",321
"SSP1","Zambia","2030-2035","20--24","No Education",295
"SSP1","Zambia","2035-2040","20--24","No Education",268
"SSP1","Zambia","2040-2045","20--24","No Education",242
"SSP1","Zambia","2045-2050","20--24","No Education",218
"SSP1","Zambia","2050-2055","20--24","No Education",198
"SSP1","Zambia","2055-2060","20--24","No Education",181
"SSP1","Zambia","2060-2065","20--24","No Education",167
"SSP1","Zambia","2065-2070","20--24","No Education",157
"SSP1","Zambia","2075-2080","20--24","No Education",141
"SSP1","Zambia","2015-2020","25--29","No Education",341
"SSP1","Zambia","2020-2025","25--29","No Education",308
"SSP1","Zambia","2025-2030","25--29","No Education",285
"SSP1","Zambia","2030-2035","25--29","No Education",257
"SSP1","Zambia","2035-2040","25--29","No Education",230
"SSP1","Zambia","2040-2045","25--29","No Education",204
"SSP1","Zambia","2045-2050","25--29","No Education",180
"SSP1","Zambia","2050-2055","25--29","No Education",159
"SSP1","Zambia","2055-2060","25--29","No Education",143
"SSP1","Zambia","2060-2065","25--29","No Education",131
"SSP1","Zambia","2065-2070","25--29","No Education",122
"SSP1","Zambia","2075-2080","25--29","No Education",109
"SSP1","Zambia","2015-2020","30--34","No Education",239
"SSP1","Zambia","2020-2025","30--34","No Education",214
"SSP1","Zambia","2025-2030","30--34","No Education",173
"SSP1","Zambia","2030-2035","30--34","No Education",148
"SSP1","Zambia","2035-2040","30--34","No Education",126
"SSP1","Zambia","2040-2045","30--34","No Education",107
"SSP1","Zambia","2045-2050","30--34","No Education",91
"SSP1","Zambia","2050-2055","30--34","No Education",78
"SSP1","Zambia","2055-2060","30--34","No Education",68
"SSP1","Zambia","2060-2065","30--34","No Education",62
"SSP1","Zambia","2065-2070","30--34","No Education",57
"SSP1","Zambia","2075-2080","30--34","No Education",51
"SSP1","Zambia","2015-2020","35--39","No Education",156
"SSP1","Zambia","2020-2025","35--39","No Education",127
"SSP1","Zambia","2025-2030","35--39","No Education",105
"SSP1","Zambia","2030-2035","35--39","No Education",88
"SSP1","Zambia","2035-2040","35--39","No Education",73
"SSP1","Zambia","2040-2045","35--39","No Education",61
"SSP1","Zambia","2045-2050","35--39","No Education",51
"SSP1","Zambia","2050-2055","35--39","No Education",43
"SSP1","Zambia","2055-2060","35--39","No Education",37
"SSP1","Zambia","2060-2065","35--39","No Education",32
"SSP1","Zambia","2065-2070","35--39","No Education",29
"SSP1","Zambia","2075-2080","35--39","No Education",25
"SSP1","Zambia","2015-2020","40--44","No Education",70
"SSP1","Zambia","2020-2025","40--44","No Education",56
"SSP1","Zambia","2025-2030","40--44","No Education",46
"SSP1","Zambia","2030-2035","40--44","No Education",38
"SSP1","Zambia","2035-2040","40--44","No Education",31
"SSP1","Zambia","2040-2045","40--44","No Education",25
"SSP1","Zambia","2045-2050","40--44","No Education",21
"SSP1","Zambia","2050-2055","40--44","No Education",17
"SSP1","Zambia","2055-2060","40--44","No Education",14
"SSP1","Zambia","2060-2065","40--44","No Education",12
"SSP1","Zambia","2065-2070","40--44","No Education",10
"SSP1","Zambia","2075-2080","40--44","No Education",8
"SSP1","Zambia","2015-2020","45--49","No Education",18
"SSP1","Zambia","2020-2025","45--49","No Education",13
"SSP1","Zambia","2025-2030","45--49","No Education",10
"SSP1","Zambia","2030-2035","45--49","No Education",8
"SSP1","Zambia","2035-2040","45--49","No Education",6
"SSP1","Zambia","2040-2045","45--49","No Education",4
"SSP1","Zambia","2045-2050","45--49","No Education",3
"SSP1","Zambia","2050-2055","45--49","No Education",2
"SSP1","Zambia","2055-2060","45--49","No Education",1
"SSP1","Zambia","2060-2065","45--49","No Education",1
"SSP1","Zambia","2065-2070","45--49","No Education",1
"SSP1","Zambia","2075-2080","45--49","No Education",7
"SSP1","Zambia","2015-2020","15--19","Incomplete Primary",124
"SSP1","Zambia","2020-2025","15--19","Incomplete Primary",106
"SSP1","Zambia","2025-2030","15--19","Incomplete Primary",89
"SSP1","Zambia","2030-2035","15--19","Incomplete Primary",74
"SSP1","Zambia","2035-2040","15--19","Incomplete Primary",61
"SSP1","Zambia","2040-2045","15--19","Incomplete Primary",51
"SSP1","Zambia","2045-2050","15--19","Incomplete Primary",42
"SSP1","Zambia","2050-2055","15--19","Incomplete Primary",36
"SSP1","Zambia","2055-2060","15--19","Incomplete Primary",31
"SSP1","Zambia","2060-2065","15--19","Incomplete Primary",27
"SSP1","Zambia","2065-2070","15--19","Incomplete Primary",24
"SSP1","Zambia","2075-2080","15--19","Incomplete Primary",20
"SSP1","Zambia","2015-2020","20--24","Incomplete Primary",347
"SSP1","Zambia","2020-2025","20--24","Incomplete Primary",319
"SSP1","Zambia","2025-2030","20--24","Incomplete Primary",301
"SSP1","Zambia","2030-2035","20--24","Incomplete Primary",278
"SSP1","Zambia","2035-2040","20--24","Incomplete Primary",255
"SSP1","Zambia","2040-2045","20--24","Incomplete Primary",232
"SSP1","Zambia","2045-2050","20--24","Incomplete Primary",211
"SSP1","Zambia","2050-2055","20--24","Incomplete Primary",192
"SSP1","Zambia","2055-2060","20--24","Incomplete Primary",177
"SSP1","Zambia","2060-2065","20--24","Incomplete Primary",165
"SSP1","Zambia","2065-2070","20--24","Incomplete Primary",155
"SSP1","Zambia","2075-2080","20--24","Incomplete Primary",140
"SSP1","Zambia","2015-2020","25--29","Incomplete Primary",317
"SSP1","Zambia","2020-2025","25--29","Incomplete Primary",286
"SSP1","Zambia","2025-2030","25--29","Incomplete Primary",268
"SSP1","Zambia","2030-2035","25--29","Incomplete Primary",243
"SSP1","Zambia","2035-2040","25--29","Incomplete Primary",219
"SSP1","Zambia","2040-2045","25--29","Incomplete Primary",195
"SSP1","Zambia","2045-2050","25--29","Incomplete Primary",173
"SSP1","Zambia","2050-2055","25--29","Incomplete Primary",155
"SSP1","Zambia","2055-2060","25--29","Incomplete Primary",140
"SSP1","Zambia","2060-2065","25--29","Incomplete Primary",129
"SSP1","Zambia","2065-2070","25--29","Incomplete Primary",120
"SSP1","Zambia","2075-2080","25--29","Incomplete Primary",109
"SSP1","Zambia","2015-2020","30--34","Incomplete Primary",222
"SSP1","Zambia","2020-2025","30--34","Incomplete Primary",200
"SSP1","Zambia","2025-2030","30--34","Incomplete Primary",163
"SSP1","Zambia","2030-2035","30--34","Incomplete Primary",140
"SSP1","Zambia","2035-2040","30--34","Incomplete Primary",120
"SSP1","Zambia","2040-2045","30--34","Incomplete Primary",103
"SSP1","Zambia","2045-2050","30--34","Incomplete Primary",88
"SSP1","Zambia","2050-2055","30--34","Incomplete Primary",76
"SSP1","Zambia","2055-2060","30--34","Incomplete Primary",67
"SSP1","Zambia","2060-2065","30--34","Incomplete Primary",61
"SSP1","Zambia","2065-2070","30--34","Incomplete Primary",56
"SSP1","Zambia","2075-2080","30--34","Incomplete Primary",50
"SSP1","Zambia","2015-2020","35--39","Incomplete Primary",144
"SSP1","Zambia","2020-2025","35--39","Incomplete Primary",122
"SSP1","Zambia","2025-2030","35--39","Incomplete Primary",99
"SSP1","Zambia","2030-2035","35--39","Incomplete Primary",83
"SSP1","Zambia","2035-2040","35--39","Incomplete Primary",70
"SSP1","Zambia","2040-2045","35--39","Incomplete Primary",58
"SSP1","Zambia","2045-2050","35--39","Incomplete Primary",49
"SSP1","Zambia","2050-2055","35--39","Incomplete Primary",42
"SSP1","Zambia","2055-2060","35--39","Incomplete Primary",36
"SSP1","Zambia","2060-2065","35--39","Incomplete Primary",32
"SSP1","Zambia","2065-2070","35--39","Incomplete Primary",29
"SSP1","Zambia","2075-2080","35--39","Incomplete Primary",24
"SSP1","Zambia","2015-2020","40--44","Incomplete Primary",65
"SSP1","Zambia","2020-2025","40--44","Incomplete Primary",52
"SSP1","Zambia","2025-2030","40--44","Incomplete Primary",43
"SSP1","Zambia","2030-2035","40--44","Incomplete Primary",36
"SSP1","Zambia","2035-2040","40--44","Incomplete Primary",29
"SSP1","Zambia","2040-2045","40--44","Incomplete Primary",24
"SSP1","Zambia","2045-2050","40--44","Incomplete Primary",20
"SSP1","Zambia","2050-2055","40--44","Incomplete Primary",16
"SSP1","Zambia","2055-2060","40--44","Incomplete Primary",14
"SSP1","Zambia","2060-2065","40--44","Incomplete Primary",12
"SSP1","Zambia","2065-2070","40--44","Incomplete Primary",10
"SSP1","Zambia","2075-2080","40--44","Incomplete Primary",8
"SSP1","Zambia","2015-2020","45--49","Incomplete Primary",17
"SSP1","Zambia","2020-2025","45--49","Incomplete Primary",12
"SSP1","Zambia","2025-2030","45--49","Incomplete Primary",9
"SSP1","Zambia","2030-2035","45--49","Incomplete Primary",7
"SSP1","Zambia","2035-2040","45--49","Incomplete Primary",5
"SSP1","Zambia","2040-2045","45--49","Incomplete Primary",4
"SSP1","Zambia","2045-2050","45--49","Incomplete Primary",3
"SSP1","Zambia","2050-2055","45--49","Incomplete Primary",2
"SSP1","Zambia","2055-2060","45--49","Incomplete Primary",1
"SSP1","Zambia","2060-2065","45--49","Incomplete Primary",1
"SSP1","Zambia","2065-2070","45--49","Incomplete Primary",1
"SSP1","Zambia","2075-2080","45--49","Incomplete Primary",7
"SSP1","Zambia","2015-2020","15--19","Primary",101
"SSP1","Zambia","2020-2025","15--19","Primary",88
"SSP1","Zambia","2025-2030","15--19","Primary",75
"SSP1","Zambia","2030-2035","15--19","Primary",63
"SSP1","Zambia","2035-2040","15--19","Primary",53
"SSP1","Zambia","2040-2045","15--19","Primary",46
"SSP1","Zambia","2045-2050","15--19","Primary",39
"SSP1","Zambia","2050-2055","15--19","Primary",33
"SSP1","Zambia","2055-2060","15--19","Primary",29
"SSP1","Zambia","2060-2065","15--19","Primary",26
"SSP1","Zambia","2065-2070","15--19","Primary",23
"SSP1","Zambia","2075-2080","15--19","Primary",20
"SSP1","Zambia","2015-2020","20--24","Primary",283
"SSP1","Zambia","2020-2025","20--24","Primary",259
"SSP1","Zambia","2025-2030","20--24","Primary",250
"SSP1","Zambia","2030-2035","20--24","Primary",239
"SSP1","Zambia","2035-2040","20--24","Primary",224
"SSP1","Zambia","2040-2045","20--24","Primary",208
"SSP1","Zambia","2045-2050","20--24","Primary",193
"SSP1","Zambia","2050-2055","20--24","Primary",179
"SSP1","Zambia","2055-2060","20--24","Primary",167
"SSP1","Zambia","2060-2065","20--24","Primary",158
"SSP1","Zambia","2065-2070","20--24","Primary",151
"SSP1","Zambia","2075-2080","20--24","Primary",138
"SSP1","Zambia","2015-2020","25--29","Primary",259
"SSP1","Zambia","2020-2025","25--29","Primary",234
"SSP1","Zambia","2025-2030","25--29","Primary",220
"SSP1","Zambia","2030-2035","25--29","Primary",209
"SSP1","Zambia","2035-2040","25--29","Primary",192
"SSP1","Zambia","2040-2045","25--29","Primary",175
"SSP1","Zambia","2045-2050","25--29","Primary",158
"SSP1","Zambia","2050-2055","25--29","Primary",144
"SSP1","Zambia","2055-2060","25--29","Primary",133
"SSP1","Zambia","2060-2065","25--29","Primary",124
"SSP1","Zambia","2065-2070","25--29","Primary",117
"SSP1","Zambia","2075-2080","25--29","Primary",107
"SSP1","Zambia","2015-2020","30--34","Primary",181
"SSP1","Zambia","2020-2025","30--34","Primary",163
"SSP1","Zambia","2025-2030","30--34","Primary",147
"SSP1","Zambia","2030-2035","30--34","Primary",120
"SSP1","Zambia","2035-2040","30--34","Primary",105
"SSP1","Zambia","2040-2045","30--34","Primary",92
"SSP1","Zambia","2045-2050","30--34","Primary",80
"SSP1","Zambia","2050-2055","30--34","Primary",71
"SSP1","Zambia","2055-2060","30--34","Primary",63
"SSP1","Zambia","2060-2065","30--34","Primary",58
"SSP1","Zambia","2065-2070","30--34","Primary",54
"SSP1","Zambia","2075-2080","30--34","Primary",50
"SSP1","Zambia","2015-2020","35--39","Primary",118
"SSP1","Zambia","2020-2025","35--39","Primary",106
"SSP1","Zambia","2025-2030","35--39","Primary",83
"SSP1","Zambia","2030-2035","35--39","Primary",71
"SSP1","Zambia","2035-2040","35--39","Primary",61
"SSP1","Zambia","2040-2045","35--39","Primary",52
"SSP1","Zambia","2045-2050","35--39","Primary",45
"SSP1","Zambia","2050-2055","35--39","Primary",39
"SSP1","Zambia","2055-2060","35--39","Primary",34
"SSP1","Zambia","2060-2065","35--39","Primary",31
"SSP1","Zambia","2065-2070","35--39","Primary",28
"SSP1","Zambia","2075-2080","35--39","Primary",24
"SSP1","Zambia","2015-2020","40--44","Primary",53
"SSP1","Zambia","2020-2025","40--44","Primary",48
"SSP1","Zambia","2025-2030","40--44","Primary",36
"SSP1","Zambia","2030-2035","40--44","Primary",31
"SSP1","Zambia","2035-2040","40--44","Primary",26
"SSP1","Zambia","2040-2045","40--44","Primary",22
"SSP1","Zambia","2045-2050","40--44","Primary",18
"SSP1","Zambia","2050-2055","40--44","Primary",15
"SSP1","Zambia","2055-2060","40--44","Primary",13
"SSP1","Zambia","2060-2065","40--44","Primary",11
"SSP1","Zambia","2065-2070","40--44","Primary",10
"SSP1","Zambia","2075-2080","40--44","Primary",8
"SSP1","Zambia","2015-2020","45--49","Primary",14
"SSP1","Zambia","2020-2025","45--49","Primary",11
"SSP1","Zambia","2025-2030","45--49","Primary",8
"SSP1","Zambia","2030-2035","45--49","Primary",6
"SSP1","Zambia","2035-2040","45--49","Primary",5
"SSP1","Zambia","2040-2045","45--49","Primary",4
"SSP1","Zambia","2045-2050","45--49","Primary",3
"SSP1","Zambia","2050-2055","45--49","Primary",2
"SSP1","Zambia","2055-2060","45--49","Primary",1
"SSP1","Zambia","2060-2065","45--49","Primary",1
"SSP1","Zambia","2065-2070","45--49","Primary",1
"SSP1","Zambia","2075-2080","45--49","Primary",7
"SSP1","Zambia","2015-2020","15--19","Lower Secondary",58
"SSP1","Zambia","2020-2025","15--19","Lower Secondary",52
"SSP1","Zambia","2025-2030","15--19","Lower Secondary",44
"SSP1","Zambia","2030-2035","15--19","Lower Secondary",37
"SSP1","Zambia","2035-2040","15--19","Lower Secondary",32
"SSP1","Zambia","2040-2045","15--19","Lower Secondary",28
"SSP1","Zambia","2045-2050","15--19","Lower Secondary",24
"SSP1","Zambia","2050-2055","15--19","Lower Secondary",21
"SSP1","Zambia","2055-2060","15--19","Lower Secondary",19
"SSP1","Zambia","2060-2065","15--19","Lower Secondary",17
"SSP1","Zambia","2065-2070","15--19","Lower Secondary",15
"SSP1","Zambia","2075-2080","15--19","Lower Secondary",13
"SSP1","Zambia","2015-2020","20--24","Lower Secondary",208
"SSP1","Zambia","2020-2025","20--24","Lower Secondary",194
"SSP1","Zambia","2025-2030","20--24","Lower Secondary",183
"SSP1","Zambia","2030-2035","20--24","Lower Secondary",182
"SSP1","Zambia","2035-2040","20--24","Lower Secondary",179
"SSP1","Zambia","2040-2045","20--24","Lower Secondary",171
"SSP1","Zambia","2045-2050","20--24","Lower Secondary",162
"SSP1","Zambia","2050-2055","20--24","Lower Secondary",154
"SSP1","Zambia","2055-2060","20--24","Lower Secondary",147
"SSP1","Zambia","2060-2065","20--24","Lower Secondary",140
"SSP1","Zambia","2065-2070","20--24","Lower Secondary",135
"SSP1","Zambia","2075-2080","20--24","Lower Secondary",127
"SSP1","Zambia","2015-2020","25--29","Lower Secondary",200
"SSP1","Zambia","2020-2025","25--29","Lower Secondary",185
"SSP1","Zambia","2025-2030","25--29","Lower Secondary",171
"SSP1","Zambia","2030-2035","25--29","Lower Secondary",165
"SSP1","Zambia","2035-2040","25--29","Lower Secondary",168
"SSP1","Zambia","2040-2045","25--29","Lower Secondary",158
"SSP1","Zambia","2045-2050","25--29","Lower Secondary",148
"SSP1","Zambia","2050-2055","25--29","Lower Secondary",138
"SSP1","Zambia","2055-2060","25--29","Lower Secondary",130
"SSP1","Zambia","2060-2065","25--29","Lower Secondary",123
"SSP1","Zambia","2065-2070","25--29","Lower Secondary",118
"SSP1","Zambia","2075-2080","25--29","Lower Secondary",111
"SSP1","Zambia","2015-2020","30--34","Lower Secondary",142
"SSP1","Zambia","2020-2025","30--34","Lower Secondary",131
"SSP1","Zambia","2025-2030","30--34","Lower Secondary",121
"SSP1","Zambia","2030-2035","30--34","Lower Secondary",117
"SSP1","Zambia","2035-2040","30--34","Lower Secondary",94
"SSP1","Zambia","2040-2045","30--34","Lower Secondary",84
"SSP1","Zambia","2045-2050","30--34","Lower Secondary",76
"SSP1","Zambia","2050-2055","30--34","Lower Secondary",69
"SSP1","Zambia","2055-2060","30--34","Lower Secondary",63
"SSP1","Zambia","2060-2065","30--34","Lower Secondary",59
"SSP1","Zambia","2065-2070","30--34","Lower Secondary",56
"SSP1","Zambia","2075-2080","30--34","Lower Secondary",53
"SSP1","Zambia","2015-2020","35--39","Lower Secondary",95
"SSP1","Zambia","2020-2025","35--39","Lower Secondary",88
"SSP1","Zambia","2025-2030","35--39","Lower Secondary",81
"SSP1","Zambia","2030-2035","35--39","Lower Secondary",65
"SSP1","Zambia","2035-2040","35--39","Lower Secondary",55
"SSP1","Zambia","2040-2045","35--39","Lower Secondary",48
"SSP1","Zambia","2045-2050","35--39","Lower Secondary",42
"SSP1","Zambia","2050-2055","35--39","Lower Secondary",38
"SSP1","Zambia","2055-2060","35--39","Lower Secondary",34
"SSP1","Zambia","2060-2065","35--39","Lower Secondary",31
"SSP1","Zambia","2065-2070","35--39","Lower Secondary",29
"SSP1","Zambia","2075-2080","35--39","Lower Secondary",25
"SSP1","Zambia","2015-2020","40--44","Lower Secondary",44
"SSP1","Zambia","2020-2025","40--44","Lower Secondary",40
"SSP1","Zambia","2025-2030","40--44","Lower Secondary",37
"SSP1","Zambia","2030-2035","40--44","Lower Secondary",27
"SSP1","Zambia","2035-2040","40--44","Lower Secondary",24
"SSP1","Zambia","2040-2045","40--44","Lower Secondary",20
"SSP1","Zambia","2045-2050","40--44","Lower Secondary",18
"SSP1","Zambia","2050-2055","40--44","Lower Secondary",15
"SSP1","Zambia","2055-2060","40--44","Lower Secondary",13
"SSP1","Zambia","2060-2065","40--44","Lower Secondary",12
"SSP1","Zambia","2065-2070","40--44","Lower Secondary",10
"SSP1","Zambia","2075-2080","40--44","Lower Secondary",8
"SSP1","Zambia","2015-2020","45--49","Lower Secondary",11
"SSP1","Zambia","2020-2025","45--49","Lower Secondary",10
"SSP1","Zambia","2025-2030","45--49","Lower Secondary",9
"SSP1","Zambia","2030-2035","45--49","Lower Secondary",5
"SSP1","Zambia","2035-2040","45--49","Lower Secondary",4
"SSP1","Zambia","2040-2045","45--49","Lower Secondary",3
"SSP1","Zambia","2045-2050","45--49","Lower Secondary",3
"SSP1","Zambia","2050-2055","45--49","Lower Secondary",2
"SSP1","Zambia","2055-2060","45--49","Lower Secondary",2
"SSP1","Zambia","2060-2065","45--49","Lower Secondary",1
"SSP1","Zambia","2065-2070","45--49","Lower Secondary",1
"SSP1","Zambia","2075-2080","45--49","Lower Secondary",0
"SSP1","Zambia","2015-2020","15--19","Upper Secondary",3
"SSP1","Zambia","2020-2025","15--19","Upper Secondary",0
"SSP1","Zambia","2025-2030","15--19","Upper Secondary",0
"SSP1","Zambia","2030-2035","15--19","Upper Secondary",0
"SSP1","Zambia","2035-2040","15--19","Upper Secondary",0
"SSP1","Zambia","2040-2045","15--19","Upper Secondary",0
"SSP1","Zambia","2045-2050","15--19","Upper Secondary",0
"SSP1","Zambia","2050-2055","15--19","Upper Secondary",0
"SSP1","Zambia","2055-2060","15--19","Upper Secondary",0
"SSP1","Zambia","2060-2065","15--19","Upper Secondary",0
"SSP1","Zambia","2065-2070","15--19","Upper Secondary",0
"SSP1","Zambia","2075-2080","15--19","Upper Secondary",0
"SSP1","Zambia","2015-2020","20--24","Upper Secondary",149
"SSP1","Zambia","2020-2025","20--24","Upper Secondary",141
"SSP1","Zambia","2025-2030","20--24","Upper Secondary",131
"SSP1","Zambia","2030-2035","20--24","Upper Secondary",126
"SSP1","Zambia","2035-2040","20--24","Upper Secondary",121
"SSP1","Zambia","2040-2045","20--24","Upper Secondary",114
"SSP1","Zambia","2045-2050","20--24","Upper Secondary",108
"SSP1","Zambia","2050-2055","20--24","Upper Secondary",103
"SSP1","Zambia","2055-2060","20--24","Upper Secondary",98
"SSP1","Zambia","2060-2065","20--24","Upper Secondary",94
"SSP1","Zambia","2065-2070","20--24","Upper Secondary",90
"SSP1","Zambia","2075-2080","20--24","Upper Secondary",83
"SSP1","Zambia","2015-2020","25--29","Upper Secondary",162
"SSP1","Zambia","2020-2025","25--29","Upper Secondary",151
"SSP1","Zambia","2025-2030","25--29","Upper Secondary",141
"SSP1","Zambia","2030-2035","25--29","Upper Secondary",135
"SSP1","Zambia","2035-2040","25--29","Upper Secondary",136
"SSP1","Zambia","2040-2045","25--29","Upper Secondary",141
"SSP1","Zambia","2045-2050","25--29","Upper Secondary",136
"SSP1","Zambia","2050-2055","25--29","Upper Secondary",130
"SSP1","Zambia","2055-2060","25--29","Upper Secondary",124
"SSP1","Zambia","2060-2065","25--29","Upper Secondary",119
"SSP1","Zambia","2065-2070","25--29","Upper Secondary",115
"SSP1","Zambia","2075-2080","25--29","Upper Secondary",109
"SSP1","Zambia","2015-2020","30--34","Upper Secondary",126
"SSP1","Zambia","2020-2025","30--34","Upper Secondary",117
"SSP1","Zambia","2025-2030","30--34","Upper Secondary",109
"SSP1","Zambia","2030-2035","30--34","Upper Secondary",104
"SSP1","Zambia","2035-2040","30--34","Upper Secondary",103
"SSP1","Zambia","2040-2045","30--34","Upper Secondary",91
"SSP1","Zambia","2045-2050","30--34","Upper Secondary",82
"SSP1","Zambia","2050-2055","30--34","Upper Secondary",76
"SSP1","Zambia","2055-2060","30--34","Upper Secondary",72
"SSP1","Zambia","2060-2065","30--34","Upper Secondary",68
"SSP1","Zambia","2065-2070","30--34","Upper Secondary",66
"SSP1","Zambia","2075-2080","30--34","Upper Secondary",63
"SSP1","Zambia","2015-2020","35--39","Upper Secondary",92
"SSP1","Zambia","2020-2025","35--39","Upper Secondary",85
"SSP1","Zambia","2025-2030","35--39","Upper Secondary",79
"SSP1","Zambia","2030-2035","35--39","Upper Secondary",76
"SSP1","Zambia","2035-2040","35--39","Upper Secondary",61
"SSP1","Zambia","2040-2045","35--39","Upper Secondary",50
"SSP1","Zambia","2045-2050","35--39","Upper Secondary",45
"SSP1","Zambia","2050-2055","35--39","Upper Secondary",41
"SSP1","Zambia","2055-2060","35--39","Upper Secondary",37
"SSP1","Zambia","2060-2065","35--39","Upper Secondary",35
"SSP1","Zambia","2065-2070","35--39","Upper Secondary",32
"SSP1","Zambia","2075-2080","35--39","Upper Secondary",30
"SSP1","Zambia","2015-2020","40--44","Upper Secondary",46
"SSP1","Zambia","2020-2025","40--44","Upper Secondary",42
