Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Age-Specific Survival Ratio by Education"
"Survivorship of population in a particular education group and by five-year age group. Available by level of educational attainment, in all scenarios, and at all geographical scales. It is expressed as a percentage."
"Multiple Scenarios"
" "
"Scenario","Area","Period","Age","Sex","Education","Ratio"
"SSP2","Zambia","2065-2070","30--34","Male","No Education",95.2
"SSP2","Zambia","2070-2075","30--34","Male","No Education",95.4
"SSP2","Zambia","2015-2020","35--39","Male","No Education",93.6
"SSP2","Zambia","2020-2025","35--39","Male","No Education",95.6
"SSP2","Zambia","2025-2030","35--39","Male","No Education",95.9
"SSP2","Zambia","2030-2035","35--39","Male","No Education",96.1
"SSP2","Zambia","2035-2040","35--39","Male","No Education",96.3
"SSP2","Zambia","2040-2045","35--39","Male","No Education",96.5
"SSP2","Zambia","2045-2050","35--39","Male","No Education",96.7
"SSP2","Zambia","2050-2055","35--39","Male","No Education",96.9
"SSP2","Zambia","2055-2060","35--39","Male","No Education",97.1
"SSP2","Zambia","2060-2065","35--39","Male","No Education",93.8
"SSP2","Zambia","2065-2070","35--39","Male","No Education",93.9
"SSP2","Zambia","2070-2075","35--39","Male","No Education",94.2
"SSP2","Zambia","2015-2020","40--44","Male","No Education",92.8
"SSP2","Zambia","2020-2025","40--44","Male","No Education",94.9
"SSP2","Zambia","2025-2030","40--44","Male","No Education",95.2
"SSP2","Zambia","2030-2035","40--44","Male","No Education",95.4
"SSP2","Zambia","2035-2040","40--44","Male","No Education",95.6
"SSP2","Zambia","2040-2045","40--44","Male","No Education",95.8
"SSP2","Zambia","2045-2050","40--44","Male","No Education",96
"SSP2","Zambia","2050-2055","40--44","Male","No Education",96.2
"SSP2","Zambia","2055-2060","40--44","Male","No Education",96.4
"SSP2","Zambia","2060-2065","40--44","Male","No Education",92.9
"SSP2","Zambia","2065-2070","40--44","Male","No Education",93.1
"SSP2","Zambia","2070-2075","40--44","Male","No Education",93.3
"SSP2","Zambia","2015-2020","45--49","Male","No Education",91.8
"SSP2","Zambia","2020-2025","45--49","Male","No Education",93.7
"SSP2","Zambia","2025-2030","45--49","Male","No Education",93.9
"SSP2","Zambia","2030-2035","45--49","Male","No Education",94.1
"SSP2","Zambia","2035-2040","45--49","Male","No Education",94.3
"SSP2","Zambia","2040-2045","45--49","Male","No Education",94.5
"SSP2","Zambia","2045-2050","45--49","Male","No Education",94.7
"SSP2","Zambia","2050-2055","45--49","Male","No Education",94.9
"SSP2","Zambia","2055-2060","45--49","Male","No Education",95.1
"SSP2","Zambia","2060-2065","45--49","Male","No Education",91.9
"SSP2","Zambia","2065-2070","45--49","Male","No Education",92
"SSP2","Zambia","2070-2075","45--49","Male","No Education",92.2
"SSP2","Zambia","2015-2020","50--54","Male","No Education",90.6
"SSP2","Zambia","2020-2025","50--54","Male","No Education",92
"SSP2","Zambia","2025-2030","50--54","Male","No Education",92.2
"SSP2","Zambia","2030-2035","50--54","Male","No Education",92.4
"SSP2","Zambia","2035-2040","50--54","Male","No Education",92.6
"SSP2","Zambia","2040-2045","50--54","Male","No Education",92.8
"SSP2","Zambia","2045-2050","50--54","Male","No Education",93
"SSP2","Zambia","2050-2055","50--54","Male","No Education",93.2
"SSP2","Zambia","2055-2060","50--54","Male","No Education",93.4
"SSP2","Zambia","2060-2065","50--54","Male","No Education",90.7
"SSP2","Zambia","2065-2070","50--54","Male","No Education",90.8
"SSP2","Zambia","2070-2075","50--54","Male","No Education",90.9
"SSP2","Zambia","2015-2020","55--59","Male","No Education",88.7
"SSP2","Zambia","2020-2025","55--59","Male","No Education",89.6
"SSP2","Zambia","2025-2030","55--59","Male","No Education",89.8
"SSP2","Zambia","2030-2035","55--59","Male","No Education",89.9
"SSP2","Zambia","2035-2040","55--59","Male","No Education",90.1
"SSP2","Zambia","2040-2045","55--59","Male","No Education",90.3
"SSP2","Zambia","2045-2050","55--59","Male","No Education",90.5
"SSP2","Zambia","2050-2055","55--59","Male","No Education",90.8
"SSP2","Zambia","2055-2060","55--59","Male","No Education",91
"SSP2","Zambia","2060-2065","55--59","Male","No Education",88.8
"SSP2","Zambia","2065-2070","55--59","Male","No Education",88.8
"SSP2","Zambia","2070-2075","55--59","Male","No Education",88.9
"SSP2","Zambia","2015-2020","60--64","Male","No Education",84.9
"SSP2","Zambia","2020-2025","60--64","Male","No Education",85.5
"SSP2","Zambia","2025-2030","60--64","Male","No Education",85.5
"SSP2","Zambia","2030-2035","60--64","Male","No Education",85.6
"SSP2","Zambia","2035-2040","60--64","Male","No Education",85.8
"SSP2","Zambia","2040-2045","60--64","Male","No Education",86
"SSP2","Zambia","2045-2050","60--64","Male","No Education",86.2
"SSP2","Zambia","2050-2055","60--64","Male","No Education",86.5
"SSP2","Zambia","2055-2060","60--64","Male","No Education",86.8
"SSP2","Zambia","2060-2065","60--64","Male","No Education",84.9
"SSP2","Zambia","2065-2070","60--64","Male","No Education",85
"SSP2","Zambia","2070-2075","60--64","Male","No Education",85.1
"SSP2","Zambia","2015-2020","65--69","Male","No Education",79.1
"SSP2","Zambia","2020-2025","65--69","Male","No Education",79.7
"SSP2","Zambia","2025-2030","65--69","Male","No Education",79.7
"SSP2","Zambia","2030-2035","65--69","Male","No Education",79.7
"SSP2","Zambia","2035-2040","65--69","Male","No Education",79.8
"SSP2","Zambia","2040-2045","65--69","Male","No Education",80
"SSP2","Zambia","2045-2050","65--69","Male","No Education",80.3
"SSP2","Zambia","2050-2055","65--69","Male","No Education",80.7
"SSP2","Zambia","2055-2060","65--69","Male","No Education",81.1
"SSP2","Zambia","2060-2065","65--69","Male","No Education",79.1
"SSP2","Zambia","2065-2070","65--69","Male","No Education",79.2
"SSP2","Zambia","2070-2075","65--69","Male","No Education",79.3
"SSP2","Zambia","2015-2020","70--74","Male","No Education",70.4
"SSP2","Zambia","2020-2025","70--74","Male","No Education",71.3
"SSP2","Zambia","2025-2030","70--74","Male","No Education",71.4
"SSP2","Zambia","2030-2035","70--74","Male","No Education",71.4
"SSP2","Zambia","2035-2040","70--74","Male","No Education",71.5
"SSP2","Zambia","2040-2045","70--74","Male","No Education",71.7
"SSP2","Zambia","2045-2050","70--74","Male","No Education",72.1
"SSP2","Zambia","2050-2055","70--74","Male","No Education",72.5
"SSP2","Zambia","2055-2060","70--74","Male","No Education",73
"SSP2","Zambia","2060-2065","70--74","Male","No Education",70.4
"SSP2","Zambia","2065-2070","70--74","Male","No Education",70.6
"SSP2","Zambia","2070-2075","70--74","Male","No Education",70.7
"SSP2","Zambia","2015-2020","75--79","Male","No Education",58.5
"SSP2","Zambia","2020-2025","75--79","Male","No Education",60
"SSP2","Zambia","2025-2030","75--79","Male","No Education",60.1
"SSP2","Zambia","2030-2035","75--79","Male","No Education",60.2
"SSP2","Zambia","2035-2040","75--79","Male","No Education",60.3
"SSP2","Zambia","2040-2045","75--79","Male","No Education",60.6
"SSP2","Zambia","2045-2050","75--79","Male","No Education",60.9
"SSP2","Zambia","2050-2055","75--79","Male","No Education",61.4
"SSP2","Zambia","2055-2060","75--79","Male","No Education",61.9
"SSP2","Zambia","2060-2065","75--79","Male","No Education",58.6
"SSP2","Zambia","2065-2070","75--79","Male","No Education",58.8
"SSP2","Zambia","2070-2075","75--79","Male","No Education",59
"SSP2","Zambia","2015-2020","80--84","Male","No Education",43.7
"SSP2","Zambia","2020-2025","80--84","Male","No Education",45.6
"SSP2","Zambia","2025-2030","80--84","Male","No Education",45.8
"SSP2","Zambia","2030-2035","80--84","Male","No Education",46
"SSP2","Zambia","2035-2040","80--84","Male","No Education",46.2
"SSP2","Zambia","2040-2045","80--84","Male","No Education",46.5
"SSP2","Zambia","2045-2050","80--84","Male","No Education",46.9
"SSP2","Zambia","2050-2055","80--84","Male","No Education",47.3
"SSP2","Zambia","2055-2060","80--84","Male","No Education",47.8
"SSP2","Zambia","2060-2065","80--84","Male","No Education",43.9
"SSP2","Zambia","2065-2070","80--84","Male","No Education",44.1
"SSP2","Zambia","2070-2075","80--84","Male","No Education",44.3
"SSP2","Zambia","2015-2020","85--89","Male","No Education",28.4
"SSP2","Zambia","2020-2025","85--89","Male","No Education",30.1
"SSP2","Zambia","2025-2030","85--89","Male","No Education",30.4
"SSP2","Zambia","2030-2035","85--89","Male","No Education",30.6
"SSP2","Zambia","2035-2040","85--89","Male","No Education",30.8
"SSP2","Zambia","2040-2045","85--89","Male","No Education",31.1
"SSP2","Zambia","2045-2050","85--89","Male","No Education",31.6
"SSP2","Zambia","2050-2055","85--89","Male","No Education",32
"SSP2","Zambia","2055-2060","85--89","Male","No Education",32.6
"SSP2","Zambia","2060-2065","85--89","Male","No Education",28.6
"SSP2","Zambia","2065-2070","85--89","Male","No Education",28.8
"SSP2","Zambia","2070-2075","85--89","Male","No Education",29
"SSP2","Zambia","2015-2020","90--94","Male","No Education",15.9
"SSP2","Zambia","2020-2025","90--94","Male","No Education",17.1
"SSP2","Zambia","2025-2030","90--94","Male","No Education",17.3
"SSP2","Zambia","2030-2035","90--94","Male","No Education",17.4
"SSP2","Zambia","2035-2040","90--94","Male","No Education",17.6
"SSP2","Zambia","2040-2045","90--94","Male","No Education",17.9
"SSP2","Zambia","2045-2050","90--94","Male","No Education",18.2
"SSP2","Zambia","2050-2055","90--94","Male","No Education",18.5
"SSP2","Zambia","2055-2060","90--94","Male","No Education",19
"SSP2","Zambia","2060-2065","90--94","Male","No Education",16
"SSP2","Zambia","2065-2070","90--94","Male","No Education",16.2
"SSP2","Zambia","2070-2075","90--94","Male","No Education",16.3
"SSP2","Zambia","2015-2020","95--99","Male","No Education",8.4
"SSP2","Zambia","2020-2025","95--99","Male","No Education",8.9
"SSP2","Zambia","2025-2030","95--99","Male","No Education",9
"SSP2","Zambia","2030-2035","95--99","Male","No Education",9
