"SurveyId","survey_year","country_name","country_code_2","zip_file_name","FileSize","file_name","country_code","n_wave"
"ZA1998DHS","1998","South Africa","ZA","ZAPR31SV.ZIP",991707,"ZAPR31SV.rds","ZAF",2
"ZA2016DHS","2016","South Africa","ZA","ZAPR71SV.ZIP",5463968,"ZAPR71SV.rds","ZAF",2
"TJ2012DHS","2012","Tajikistan","TJ","TJPR61SV.ZIP",3017253,"TJPR61SV.rds","TJK",2
"TJ2017DHS","2017","Tajikistan","TJ","TJPR71SV.ZIP",4760580,"TJPR71SV.rds","TJK",2
"TZ1992DHS","1992","Tanzania","TZ","TZPR21SV.ZIP",1111909,"TZPR21SV.rds","TZA",6
"TZ1996DHS","1996","Tanzania","TZ","TZPR3ASV.ZIP",950363,"TZPR3ASV.rds","TZA",6
"TZ1999DHS","1999","Tanzania","TZ","TZPR41SV.ZIP",1107948,"TZPR41SV.rds","TZA",6
"TZ2004DHS","2004","Tanzania","TZ","TZPR4ISV.ZIP",3668575,"TZPR4ISV.rds","TZA",6
"TZ2010DHS","2010","Tanzania","TZ","TZPR63SV.ZIP",5253254,"TZPR63SV.rds","TZA",6
"TZ2015DHS","2015","Tanzania","TZ","TZPR7BSV.ZIP",9434991,"TZPR7BSV.rds","TZA",6
"TL2009DHS","2009","Timor-Leste","TL","TLPR61SV.ZIP",5165020,"TLPR61SV.rds","TLS",2
"TL2016DHS","2016","Timor-Leste","TL","TLPR71SV.ZIP",4925320,"TLPR71SV.rds","TLS",2
"TG1998DHS","1998","Togo","TG","TGPR31SV.ZIP",836144,"TGPR31SV.rds","TGO",2
"TG2013DHS","2013","Togo","TG","TGPR61SV.ZIP",3706095,"TGPR61SV.rds","TGO",2
"TR1993DHS","1993","Turkey","TR","TRPR31SV.ZIP",1144094,"TRPR31SV.rds","TUR",4
"TR2003DHS","2003","Turkey","TR","TRPR4ASV.ZIP",2759630,"TRPR4ASV.rds","TUR",4
"TR2008DHS","2008","Turkey","TR","TRPR51SV.ZIP",1784734,"TRPR51SV.rds","TUR",4
"TR2013DHS","2013","Turkey","TR","TRPR62SV.ZIP",2540388,"TRPR62SV.rds","TUR",4
"UG1995DHS","1995","Uganda","UG","UGPR33SV.ZIP",740004,"UGPR33SV.rds","UGA",5
"UG2000DHS","2000","Uganda","UG","UGPR41SV.ZIP",3603779,"UGPR41SV.rds","UGA",5
"UG2006DHS","2006","Uganda","UG","UGPR52SV.ZIP",2944360,"UGPR52SV.rds","UGA",5
"UG2011DHS","2011","Uganda","UG","UGPR61SV.ZIP",3566301,"UGPR61SV.rds","UGA",5
"UG2016DHS","2016","Uganda","UG","UGPR7BSV.ZIP",8062529,"UGPR7BSV.rds","UGA",5
"VN1997DHS","1997","Vietnam","VN","VNPR31SV.ZIP",814101,"VNPR31SV.rds","VNM",2
"VN2002DHS","2002","Vietnam","VN","VNPR41SV.ZIP",1170825,"VNPR41SV.rds","VNM",2
"YE1991DHS","1991","Yemen","YE","YEPR21SV.ZIP",1646347,"YEPR21SV.rds","YEM",2
"YE2013DHS","2013","Yemen","YE","YEPR61SV.ZIP",8780267,"YEPR61SV.rds","YEM",2
"ZM1992DHS","1992","Zambia","ZM","ZMPR21SV.ZIP",639829,"ZMPR21SV.rds","ZMB",6
"ZM1996DHS","1996","Zambia","ZM","ZMPR31SV.ZIP",1060142,"ZMPR31SV.rds","ZMB",6
"ZM2002DHS","2002","Zambia","ZM","ZMPR43SV.ZIP",2314028,"ZMPR43SV.rds","ZMB",6
"ZM2007DHS","2007","Zambia","ZM","ZMPR51SV.ZIP",3706448,"ZMPR51SV.rds","ZMB",6
"ZM2013DHS","2013","Zambia","ZM","ZMPR61SV.ZIP",6728844,"ZMPR61SV.rds","ZMB",6
"ZM2018DHS","2018","Zambia","ZM","ZMPR71SV.ZIP",7632771,"ZMPR71SV.rds","ZMB",6
"ZW1994DHS","1994","Zimbabwe","ZW","ZWPR31SV.ZIP",740638,"ZWPR31SV.rds","ZWE",5
"ZW1999DHS","1999","Zimbabwe","ZW","ZWPR42SV.ZIP",1215485,"ZWPR42SV.rds","ZWE",5
"ZW2005DHS","2005","Zimbabwe","ZW","ZWPR52SV.ZIP",2998502,"ZWPR52SV.rds","ZWE",5
"ZW2010DHS","2010","Zimbabwe","ZW","ZWPR62SV.ZIP",4347481,"ZWPR62SV.rds","ZWE",5
"ZW2015DHS","2015","Zimbabwe","ZW","ZWPR72SV.ZIP",6601535,"ZWPR72SV.rds","ZWE",5
