"mcf_proj","period_min","urban","scenario","mcf_proj_tp5","period_max","p_mcf"
22.9039431072915,2015,1,"SSP1",18.9012172515974,2020,0
2.0233455166539,2015,0,"SSP1",2.12283890650027,2020,0.00101548057923622
22.9039431072915,2015,1,"SSP2",18.9012172515974,2020,0
2.0233455166539,2015,0,"SSP2",2.12283890650027,2020,0.00101548057923622
22.9039431072915,2015,1,"SSP3",18.9012172515974,2020,0
2.0233455166539,2015,0,"SSP3",2.12283890650027,2020,0.00101548057923622
22.9039431072915,2015,1,"Universal",18.9012172515974,2020,0
2.0233455166539,2015,0,"Universal",2.12283890650027,2020,0.00101548057923622
2.12283890650027,2020,0,"SSP1",2.92283890650028,2025,0.00817351046007336
18.9012172515974,2020,1,"SSP1",25.1012172515974,2025,0.0764499760648025
2.12283890650027,2020,0,"SSP2",3.22283890650027,2025,0.0112385768826008
2.12283890650027,2020,0,"SSP3",2.42283890650028,2025,0.00306506642252754
18.9012172515974,2020,1,"SSP2",25.6012172515974,2025,0.0826152967151898
18.9012172515974,2020,1,"SSP3",20.7012172515974,2025,0.0221951543413943
18.9012172515974,2020,1,"Universal",39.175912938698,2025,0.25
2.12283890650027,2020,0,"Universal",26.5921291798752,2025,0.25
25.1012172515974,2025,1,"SSP1",31.3012172515974,2030,0.0827783813366744
2.92283890650028,2025,0,"SSP1",3.72283890650028,2030,0.00824086727494519
25.6012172515974,2025,1,"SSP2",32.3012172515974,2030,0.0900552368263559
3.22283890650027,2025,0,"SSP2",4.32283890650027,2030,0.0113663181226948
20.7012172515974,2025,1,"SSP3",22.5012172515974,2030,0.0226989612906291
2.42283890650028,2025,0,"SSP3",2.72283890650028,2030,0.00307448993840414
39.175912938698,2025,1,"Universal",59.4506086257987,2030,0.333333333333333
26.5921291798752,2025,0,"Universal",51.0614194532501,2030,0.333333333333333
31.3012172515974,2030,1,"SSP1",40.4512172515974,2035,0.133190132837001
32.3012172515974,2030,1,"SSP2",39.1512172515974,2035,0.10118350318731
22.5012172515974,2030,1,"SSP3",26.2512172515974,2035,0.048387856776722
3.72283890650028,2030,0,"SSP1",6.57283890650028,2035,0.0296020361177062
4.32283890650027,2030,0,"SSP2",5.37283890650028,2035,0.0109744058874604
2.72283890650028,2030,0,"SSP3",3.32283890650028,2035,0.0061679431559819
59.4506086257987,2030,1,"Universal",79.7253043128994,2035,0.5
51.0614194532501,2030,0,"Universal",75.5307097266251,2035,0.5
40.4512172515974,2035,1,"SSP1",49.6012172515974,2040,0.153655533794189
6.57283890650028,2035,0,"SSP1",9.42283890650028,2040,0.0305050476397093
39.1512172515974,2035,1,"SSP2",46.0012172515974,2040,0.11257415005857
5.37283890650028,2035,0,"SSP2",6.42283890650028,2040,0.0110961798691447
26.2512172515974,2035,1,"SSP3",30.0012172515974,2040,0.0508482968836692
3.32283890650028,2035,0,"SSP3",3.92283890650028,2040,0.0062062227853352
79.7253043128994,2035,1,"Universal",100,2040,1
75.5307097266251,2035,0,"Universal",100,2040,1
49.6012172515974,2040,1,"SSP1",62.9512172515974,2045,0.264887349891861
46.0012172515974,2040,1,"SSP2",51.4012172515974,2045,0.100002254220439
30.0012172515974,2040,1,"SSP3",33.7512172515974,2045,0.0535723601577283
9.42283890650028,2040,0,"SSP1",21.7728389065003,2045,0.136347837036442
6.42283890650028,2040,0,"SSP2",8.62283890650029,2045,0.023510010073952
