"elec_proj","period_min","urban","scenario","elec_proj_tp5","period_max","p_elec"
69.945789889166,2015,1,"SSP1",73.8386472341386,2020,0.129527854188033
6.76610683742157,2015,0,"SSP1",8.96919481918152,2020,0.0236296898802485
69.945789889166,2015,1,"SSP2",73.8386472341386,2020,0.129527854188033
6.76610683742157,2015,0,"SSP2",8.96919481918152,2020,0.0236296898802485
69.945789889166,2015,1,"SSP3",73.8386472341386,2020,0.129527854188033
6.76610683742157,2015,0,"SSP3",8.96919481918152,2020,0.0236296898802485
69.945789889166,2015,1,"Universal",73.8386472341386,2020,0.129527854188033
6.76610683742157,2015,0,"Universal",8.96919481918152,2020,0.0236296898802485
8.96919481918152,2020,0,"SSP1",12.7191948191815,2025,0.0411948459925319
73.8386472341386,2020,1,"SSP1",78.1386472341386,2025,0.164364589189408
8.96919481918152,2020,0,"SSP2",11.8691948191815,2025,0.031857347567558
8.96919481918152,2020,0,"SSP3",10.8691948191815,2025,0.0208720553028828
73.8386472341386,2020,1,"SSP2",77.2386472341386,2025,0.129962698428834
73.8386472341386,2020,1,"SSP3",76.0386472341386,2025,0.0840935107480695
73.8386472341386,2020,1,"Universal",80.378985425604,2025,0.25
8.96919481918152,2020,0,"Universal",31.7268961143861,2025,0.25
78.1386472341386,2025,1,"SSP1",82.4386472341386,2030,0.196694140845431
12.7191948191815,2025,0,"SSP1",16.4691948191815,2030,0.0429647732079369
77.2386472341386,2025,1,"SSP2",80.6386472341386,2030,0.149376007435704
11.8691948191815,2025,0,"SSP2",14.7691948191815,2030,0.0329056337798122
76.0386472341386,2025,1,"SSP3",78.2386472341386,2030,0.0918145157119179
10.8691948191815,2025,0,"SSP3",12.7691948191815,2030,0.0213169845840109
80.378985425604,2025,1,"Universal",86.9193236170693,2030,0.333333333333333
31.7268961143861,2025,0,"Universal",54.4845974095908,2030,0.333333333333333
82.4386472341386,2030,1,"SSP1",87.1386472341386,2035,0.267633140946671
80.6386472341386,2030,1,"SSP2",83.3886472341386,2035,0.14203552991653
78.2386472341386,2030,1,"SSP3",80.0386472341386,2035,0.0827154460187696
16.4691948191815,2030,0,"SSP1",21.9191948191815,2035,0.0652453904664564
14.7691948191815,2030,0,"SSP2",17.5691948191815,2035,0.0328519717027166
12.7691948191815,2030,0,"SSP3",14.0691948191815,2035,0.0149029920944243
86.9193236170693,2030,1,"Universal",93.4596618085346,2035,0.5
54.4845974095908,2030,0,"Universal",77.2422987047954,2035,0.5
87.1386472341386,2035,1,"SSP1",91.8386472341386,2040,0.365435898195365
21.9191948191815,2035,0,"SSP1",27.3691948191815,2040,0.0697994851279897
83.3886472341386,2035,1,"SSP2",86.1386472341386,2040,0.165549431088576
17.5691948191815,2035,0,"SSP2",20.3691948191815,2040,0.0339678836553638
80.0386472341386,2035,1,"SSP3",81.8386472341386,2040,0.0901742492662331
14.0691948191815,2035,0,"SSP3",15.3691948191815,2040,0.0151284512843153
93.4596618085346,2035,1,"Universal",100,2040,1
77.2422987047954,2035,0,"Universal",100,2040,1
91.8386472341386,2040,1,"SSP1",95.4886472341386,2045,0.447229779757566
86.1386472341386,2040,1,"SSP2",89.0886472341386,2045,0.212821940962749
81.8386472341386,2040,1,"SSP3",83.1886472341386,2045,0.0743336698209861
27.3691948191815,2040,0,"SSP1",32.6191948191815,2045,0.0722833787527183
20.3691948191815,2040,0,"SSP2",24.0691948191815,2045,0.0464644303369578
15.3691948191815,2040,0,"SSP3",16.6691948191815,2045,0.0153608369579195
100,2040,1,"Universal",100,2045,1
100,2040,0,"Universal",100,2045,1
95.4886472341386,2045,1,"SSP1",99.1386472341386,2050,0.80906995959627
32.6191948191815,2045,0,"SSP1",37.8691948191815,2050,0.0779153645598544
89.0886472341386,2045,1,"SSP2",92.0386472341386,2050,0.270360610943652
24.0691948191815,2045,0,"SSP2",27.7691948191815,2050,0.0487285758552009
83.1886472341386,2045,1,"SSP3",84.5386472341386,2050,0.0803028773949365
16.6691948191815,2045,0,"SSP3",17.9691948191815,2050,0.0156004732845092
100,2045,1,"Universal",100,2050,1
100,2045,0,"Universal",100,2050,1
99.1386472341386,2050,1,"SSP1",99.5693236170693,2055,0.5
92.0386472341386,2050,1,"SSP2",95.2303833452497,2055,0.40090374148441
84.5386472341386,2050,1,"SSP3",85.9432949103005,2055,0.0908489507634388
37.8691948191815,2050,0,"SSP1",44.6090596840464,2055,0.108478633831477
27.7691948191815,2050,0,"SSP2",32.3728251822178,2055,0.0637349999285184
17.9691948191815,2050,0,"SSP3",19.4012260691815,2055,0.0174572375200195
100,2050,1,"Universal",100,2055,1
100,2050,0,"Universal",100,2055,1
99.5693236170693,2055,1,"SSP1",100,2060,1
44.6090596840464,2055,0,"SSP1",51.3489245489112,2060,0.121678108846324
95.2303833452497,2055,1,"SSP2",98.4221194563608,2060,0.669180846626803
32.3728251822178,2055,0,"SSP2",36.9764555452541,2060,0.0680736756406066
85.9432949103005,2055,1,"SSP3",87.3479425864624,2060,0.0999272352374526
19.4012260691815,2055,0,"SSP3",20.8332573191815,2060,0.0177674073706031
100,2055,1,"Universal",100,2060,1
100,2055,0,"Universal",100,2060,1
100,2060,1,"SSP1",100,2065,1
98.4221194563608,2060,1,"SSP2",99.2110597281804,2065,0.5
87.3479425864624,2060,1,"SSP3",88.8094500636084,2065,0.115515400331823
51.3489245489112,2060,0,"SSP1",60.0014537673188,2065,0.177848673193389
36.9764555452541,2060,0,"SSP2",42.7044048748405,2065,0.0908858646263447
20.8332573191815,2060,0,"SSP3",22.4107292430096,2065,0.0199259420106261
