"scenario","area","year","age","sex","age_group","t_1","t_2","t_3","t_4","t_5","t_6","sum","sum2"
"Universal","Zambia",2045,"15--19",1,4,0,0,0,0.6,0.4,0,1,1
"Universal","Zambia",2050,"15--19",1,4,0,0,0,0.6,0.4,0,1,1
"Universal","Zambia",2055,"15--19",1,4,0,0,0,0.6,0.4,0,1,1
"Universal","Zambia",2060,"15--19",1,4,0,0,0,0.6,0.4,0,1,1
"Universal","Zambia",2065,"15--19",1,4,0,0,0,0.6,0.4,0,1,1
"Universal","Zambia",2070,"15--19",1,4,0,0,0,0.6,0.4,0,1,1
"Universal","Zambia",2015,"20--24",1,5,0.075,0.141,0.213,0.255,0.232,0.085,1.001,1.001
"Universal","Zambia",2020,"20--24",1,5,0.043,0.064,0.098,0.15,0.426,0.22,1,1.001
"Universal","Zambia",2025,"20--24",1,5,0.018,0.015,0.035,0.091,0.54,0.301,1,1
"Universal","Zambia",2030,"20--24",1,5,0.004,0.005,0.014,0.047,0.564,0.367,1.001,1.001
"Universal","Zambia",2035,"20--24",1,5,0.001,0.001,0.004,0.017,0.548,0.429,1,1
"Universal","Zambia",2040,"20--24",1,5,0,0,0.001,0.005,0.515,0.479,1,1
"Universal","Zambia",2045,"20--24",1,5,0,0,0,0.001,0.474,0.525,1,1
"Universal","Zambia",2050,"20--24",1,5,0,0,0,0,0.439,0.561,1,1
"Universal","Zambia",2055,"20--24",1,5,0,0,0,0,0.413,0.587,1,1
"Universal","Zambia",2060,"20--24",1,5,0,0,0,0,0.394,0.606,1,1
"Universal","Zambia",2065,"20--24",1,5,0,0,0,0,0.383,0.617,1,1
"Universal","Zambia",2070,"20--24",1,5,0,0,0,0,0.377,0.623,1,1
"Universal","Zambia",2015,"25--29",1,6,0.088,0.151,0.204,0.216,0.192,0.149,1,1
"Universal","Zambia",2020,"25--29",1,6,0.068,0.088,0.114,0.171,0.288,0.273,1.002,1.002
"Universal","Zambia",2025,"25--29",1,6,0.043,0.052,0.069,0.152,0.338,0.347,1.001,1.001
"Universal","Zambia",2030,"25--29",1,6,0.018,0.015,0.035,0.091,0.41,0.431,1,1
"Universal","Zambia",2035,"25--29",1,6,0.004,0.005,0.014,0.047,0.407,0.523,1,1
"Universal","Zambia",2040,"25--29",1,6,0.001,0.001,0.004,0.017,0.364,0.613,1,1
"Universal","Zambia",2045,"25--29",1,6,0,0,0.001,0.005,0.31,0.684,1,1
"Universal","Zambia",2050,"25--29",1,6,0,0,0,0.001,0.25,0.749,1,1
"Universal","Zambia",2055,"25--29",1,6,0,0,0,0,0.198,0.802,1,1
"Universal","Zambia",2060,"25--29",1,6,0,0,0,0,0.161,0.839,1,1
"Universal","Zambia",2065,"25--29",1,6,0,0,0,0,0.134,0.866,1,1
"Universal","Zambia",2070,"25--29",1,6,0,0,0,0,0.119,0.882,1,1.001
"Universal","Zambia",2015,"30--34",1,7,0.092,0.158,0.213,0.213,0.158,0.166,0.999,1
"Universal","Zambia",2020,"30--34",1,7,0.092,0.123,0.149,0.199,0.204,0.234,1,1.001
"Universal","Zambia",2025,"30--34",1,7,0.068,0.088,0.114,0.171,0.288,0.273,1.002,1.002
"Universal","Zambia",2030,"30--34",1,7,0.043,0.052,0.069,0.152,0.338,0.347,1.001,1.001
"Universal","Zambia",2035,"30--34",1,7,0.018,0.015,0.035,0.091,0.41,0.431,1,1
"Universal","Zambia",2040,"30--34",1,7,0.004,0.005,0.014,0.047,0.407,0.523,1,1
"Universal","Zambia",2045,"30--34",1,7,0.001,0.001,0.004,0.017,0.364,0.613,1,1
"Universal","Zambia",2050,"30--34",1,7,0,0,0.001,0.005,0.31,0.684,1,1
"Universal","Zambia",2055,"30--34",1,7,0,0,0,0.001,0.25,0.749,1,1
"Universal","Zambia",2060,"30--34",1,7,0,0,0,0,0.198,0.802,1,1
"Universal","Zambia",2065,"30--34",1,7,0,0,0,0,0.161,0.839,1,1
"Universal","Zambia",2070,"30--34",1,7,0,0,0,0,0.134,0.866,1,1
"Universal","Zambia",2015,"15--19",2,4,0.072,0.205,0.279,0.35,0.094,0,1,1
"Universal","Zambia",2020,"15--19",2,4,0.034,0.089,0.113,0.494,0.27,0,1,1
"Universal","Zambia",2025,"15--19",2,4,0.003,0.003,0.008,0.61,0.376,0,1,1
"Universal","Zambia",2030,"15--19",2,4,0,0.001,0.002,0.603,0.394,0,1,1
"Universal","Zambia",2035,"15--19",2,4,0,0,0,0.601,0.399,0,1,1
"Universal","Zambia",2040,"15--19",2,4,0,0,0,0.6,0.4,0,1,1
"Universal","Zambia",2045,"15--19",2,4,0,0,0,0.6,0.4,0,1,1
"Universal","Zambia",2050,"15--19",2,4,0,0,0,0.6,0.4,0,1,1
"Universal","Zambia",2055,"15--19",2,4,0,0,0,0.6,0.4,0,1,1
"Universal","Zambia",2060,"15--19",2,4,0,0,0,0.6,0.4,0,1,1
"Universal","Zambia",2065,"15--19",2,4,0,0,0,0.6,0.4,0,1,1
"Universal","Zambia",2070,"15--19",2,4,0,0,0,0.6,0.4,0,1,1
"Universal","Zambia",2015,"20--24",2,5,0.096,0.207,0.214,0.224,0.182,0.077,0.999,1
"Universal","Zambia",2020,"20--24",2,5,0.061,0.084,0.088,0.147,0.4,0.22,1,1
"Universal","Zambia",2025,"20--24",2,5,0.015,0.012,0.024,0.117,0.528,0.304,1,1
"Universal","Zambia",2030,"20--24",2,5,0.003,0.003,0.008,0.045,0.566,0.375,1,1
"Universal","Zambia",2035,"20--24",2,5,0,0.001,0.002,0.014,0.539,0.444,1,1
"Universal","Zambia",2040,"20--24",2,5,0,0,0,0.003,0.502,0.495,1,1
"Universal","Zambia",2045,"20--24",2,5,0,0,0,0,0.455,0.545,1,1
"Universal","Zambia",2050,"20--24",2,5,0,0,0,0,0.421,0.579,1,1
"Universal","Zambia",2055,"20--24",2,5,0,0,0,0,0.397,0.603,1,1
"Universal","Zambia",2060,"20--24",2,5,0,0,0,0,0.384,0.616,1,1
"Universal","Zambia",2065,"20--24",2,5,0,0,0,0,0.376,0.624,1,1
"Universal","Zambia",2070,"20--24",2,5,0,0,0,0,0.373,0.627,1,1
"Universal","Zambia",2015,"25--29",2,6,0.137,0.217,0.208,0.192,0.127,0.119,0.999,1
"Universal","Zambia",2020,"25--29",2,6,0.096,0.116,0.1,0.18,0.251,0.257,1,1
"Universal","Zambia",2025,"25--29",2,6,0.061,0.042,0.047,0.19,0.324,0.336,1,1
"Universal","Zambia",2030,"25--29",2,6,0.015,0.012,0.024,0.117,0.398,0.434,1,1
"Universal","Zambia",2035,"25--29",2,6,0.003,0.003,0.008,0.045,0.406,0.535,1,1
"Universal","Zambia",2040,"25--29",2,6,0,0.001,0.002,0.014,0.348,0.635,1,1
"Universal","Zambia",2045,"25--29",2,6,0,0,0,0.003,0.29,0.707,1,1
"Universal","Zambia",2050,"25--29",2,6,0,0,0,0,0.222,0.778,1,1
"Universal","Zambia",2055,"25--29",2,6,0,0,0,0,0.173,0.827,1,1
"Universal","Zambia",2060,"25--29",2,6,0,0,0,0,0.139,0.861,1,1
"Universal","Zambia",2065,"25--29",2,6,0,0,0,0,0.119,0.882,1,1.001
"Universal","Zambia",2070,"25--29",2,6,0,0,0,0,0.109,0.892,1,1.001
"Universal","Zambia",2015,"30--34",2,7,0.148,0.234,0.226,0.188,0.087,0.117,1,1
"Universal","Zambia",2020,"30--34",2,7,0.134,0.189,0.13,0.192,0.16,0.196,1.001,1.001
"Universal","Zambia",2025,"30--34",2,7,0.096,0.116,0.1,0.18,0.251,0.257,1,1
"Universal","Zambia",2030,"30--34",2,7,0.061,0.042,0.047,0.19,0.324,0.336,1,1
"Universal","Zambia",2035,"30--34",2,7,0.015,0.012,0.024,0.117,0.398,0.434,1,1
"Universal","Zambia",2040,"30--34",2,7,0.003,0.003,0.008,0.045,0.406,0.535,1,1
"Universal","Zambia",2045,"30--34",2,7,0,0.001,0.002,0.014,0.348,0.635,1,1
"Universal","Zambia",2050,"30--34",2,7,0,0,0,0.003,0.29,0.707,1,1
"Universal","Zambia",2055,"30--34",2,7,0,0,0,0,0.222,0.778,1,1
"Universal","Zambia",2060,"30--34",2,7,0,0,0,0,0.173,0.827,1,1
"Universal","Zambia",2065,"30--34",2,7,0,0,0,0,0.139,0.861,1,1
"Universal","Zambia",2070,"30--34",2,7,0,0,0,0,0.119,0.882,1,1.001
