"scenario","area","period","age","sex","education","ratio","age_group","period_min","period_max"
"SSP2","Zambia","2015-2020","Newborn",1,1,0.929,0,2015,2020
"SSP2","Zambia","2020-2025","Newborn",1,1,0.94,0,2020,2025
"SSP2","Zambia","2025-2030","Newborn",1,1,0.942,0,2025,2030
"SSP2","Zambia","2030-2035","Newborn",1,1,0.943,0,2030,2035
"SSP2","Zambia","2035-2040","Newborn",1,1,0.945,0,2035,2040
"SSP2","Zambia","2040-2045","Newborn",1,1,0.947,0,2040,2045
"SSP2","Zambia","2045-2050","Newborn",1,1,0.949,0,2045,2050
"SSP2","Zambia","2050-2055","Newborn",1,1,0.951,0,2050,2055
"SSP2","Zambia","2055-2060","Newborn",1,1,0.953,0,2055,2060
"SSP2","Zambia","2060-2065","Newborn",1,1,0.932,0,2060,2065
"SSP2","Zambia","2065-2070","Newborn",1,1,0.934,0,2065,2070
"SSP2","Zambia","2070-2075","Newborn",1,1,0.935,0,2070,2075
"SSP2","Zambia","2015-2020","0--4",1,1,0.98,1,2015,2020
"SSP2","Zambia","2020-2025","0--4",1,1,0.985,1,2020,2025
"SSP2","Zambia","2025-2030","0--4",1,1,0.986,1,2025,2030
"SSP2","Zambia","2030-2035","0--4",1,1,0.987,1,2030,2035
"SSP2","Zambia","2035-2040","0--4",1,1,0.987,1,2035,2040
"SSP2","Zambia","2040-2045","0--4",1,1,0.988,1,2040,2045
"SSP2","Zambia","2045-2050","0--4",1,1,0.989,1,2045,2050
"SSP2","Zambia","2050-2055","0--4",1,1,0.989,1,2050,2055
"SSP2","Zambia","2055-2060","0--4",1,1,0.99,1,2055,2060
"SSP2","Zambia","2060-2065","0--4",1,1,0.979,1,2060,2065
"SSP2","Zambia","2065-2070","0--4",1,1,0.98,1,2065,2070
"SSP2","Zambia","2070-2075","0--4",1,1,0.981,1,2070,2075
"SSP2","Zambia","2015-2020","5--9",1,1,0.99,2,2015,2020
"SSP2","Zambia","2020-2025","5--9",1,1,0.992,2,2020,2025
"SSP2","Zambia","2025-2030","5--9",1,1,0.992,2,2025,2030
"SSP2","Zambia","2030-2035","5--9",1,1,0.993,2,2030,2035
"SSP2","Zambia","2035-2040","5--9",1,1,0.993,2,2035,2040
"SSP2","Zambia","2040-2045","5--9",1,1,0.993,2,2040,2045
"SSP2","Zambia","2045-2050","5--9",1,1,0.994,2,2045,2050
"SSP2","Zambia","2050-2055","5--9",1,1,0.994,2,2050,2055
"SSP2","Zambia","2055-2060","5--9",1,1,0.994,2,2055,2060
"SSP2","Zambia","2060-2065","5--9",1,1,0.991,2,2060,2065
"SSP2","Zambia","2065-2070","5--9",1,1,0.99,2,2065,2070
"SSP2","Zambia","2070-2075","5--9",1,1,0.99,2,2070,2075
"SSP2","Zambia","2015-2020","10--14",1,1,0.989,3,2015,2020
"SSP2","Zambia","2020-2025","10--14",1,1,0.991,3,2020,2025
"SSP2","Zambia","2025-2030","10--14",1,1,0.991,3,2025,2030
"SSP2","Zambia","2030-2035","10--14",1,1,0.991,3,2030,2035
"SSP2","Zambia","2035-2040","10--14",1,1,0.991,3,2035,2040
"SSP2","Zambia","2040-2045","10--14",1,1,0.992,3,2040,2045
"SSP2","Zambia","2045-2050","10--14",1,1,0.992,3,2045,2050
"SSP2","Zambia","2050-2055","10--14",1,1,0.992,3,2050,2055
"SSP2","Zambia","2055-2060","10--14",1,1,0.992,3,2055,2060
"SSP2","Zambia","2060-2065","10--14",1,1,0.99,3,2060,2065
"SSP2","Zambia","2065-2070","10--14",1,1,0.991,3,2065,2070
"SSP2","Zambia","2070-2075","10--14",1,1,0.99,3,2070,2075
"SSP2","Zambia","2015-2020","15--19",1,1,0.979,4,2015,2020
"SSP2","Zambia","2020-2025","15--19",1,1,0.983,4,2020,2025
"SSP2","Zambia","2025-2030","15--19",1,1,0.984,4,2025,2030
"SSP2","Zambia","2030-2035","15--19",1,1,0.985,4,2030,2035
"SSP2","Zambia","2035-2040","15--19",1,1,0.985,4,2035,2040
"SSP2","Zambia","2040-2045","15--19",1,1,0.985,4,2040,2045
"SSP2","Zambia","2045-2050","15--19",1,1,0.986,4,2045,2050
"SSP2","Zambia","2050-2055","15--19",1,1,0.987,4,2050,2055
"SSP2","Zambia","2055-2060","15--19",1,1,0.987,4,2055,2060
"SSP2","Zambia","2060-2065","15--19",1,1,0.979,4,2060,2065
"SSP2","Zambia","2065-2070","15--19",1,1,0.979,4,2065,2070
"SSP2","Zambia","2070-2075","15--19",1,1,0.98,4,2070,2075
"SSP2","Zambia","2015-2020","20--24",1,1,0.971,5,2015,2020
"SSP2","Zambia","2020-2025","20--24",1,1,0.977,5,2020,2025
"SSP2","Zambia","2025-2030","20--24",1,1,0.978,5,2025,2030
"SSP2","Zambia","2030-2035","20--24",1,1,0.979,5,2030,2035
"SSP2","Zambia","2035-2040","20--24",1,1,0.98,5,2035,2040
"SSP2","Zambia","2040-2045","20--24",1,1,0.98,5,2040,2045
"SSP2","Zambia","2045-2050","20--24",1,1,0.981,5,2045,2050
"SSP2","Zambia","2050-2055","20--24",1,1,0.982,5,2050,2055
"SSP2","Zambia","2055-2060","20--24",1,1,0.983,5,2055,2060
"SSP2","Zambia","2060-2065","20--24",1,1,0.972,5,2060,2065
"SSP2","Zambia","2065-2070","20--24",1,1,0.972,5,2065,2070
"SSP2","Zambia","2070-2075","20--24",1,1,0.973,5,2070,2075
"SSP2","Zambia","2015-2020","25--29",1,1,0.963,6,2015,2020
"SSP2","Zambia","2020-2025","25--29",1,1,0.972,6,2020,2025
"SSP2","Zambia","2025-2030","25--29",1,1,0.973,6,2025,2030
"SSP2","Zambia","2030-2035","25--29",1,1,0.975,6,2030,2035
"SSP2","Zambia","2035-2040","25--29",1,1,0.976,6,2035,2040
"SSP2","Zambia","2040-2045","25--29",1,1,0.977,6,2040,2045
"SSP2","Zambia","2045-2050","25--29",1,1,0.978,6,2045,2050
"SSP2","Zambia","2050-2055","25--29",1,1,0.979,6,2050,2055
"SSP2","Zambia","2055-2060","25--29",1,1,0.98,6,2055,2060
"SSP2","Zambia","2060-2065","25--29",1,1,0.964,6,2060,2065
"SSP2","Zambia","2065-2070","25--29",1,1,0.965,6,2065,2070
"SSP2","Zambia","2070-2075","25--29",1,1,0.966,6,2070,2075
"SSP2","Zambia","2015-2020","30--34",1,1,0.949,7,2015,2020
"SSP2","Zambia","2020-2025","30--34",1,1,0.964,7,2020,2025
"SSP2","Zambia","2025-2030","30--34",1,1,0.966,7,2025,2030
"SSP2","Zambia","2030-2035","30--34",1,1,0.968,7,2030,2035
"SSP2","Zambia","2035-2040","30--34",1,1,0.97,7,2035,2040
"SSP2","Zambia","2040-2045","30--34",1,1,0.972,7,2040,2045
"SSP2","Zambia","2045-2050","30--34",1,1,0.974,7,2045,2050
"SSP2","Zambia","2050-2055","30--34",1,1,0.975,7,2050,2055
"SSP2","Zambia","2055-2060","30--34",1,1,0.976,7,2055,2060
"SSP2","Zambia","2060-2065","30--34",1,1,0.951,7,2060,2065
"SSP2","Zambia","2065-2070","30--34",1,1,0.952,7,2065,2070
"SSP2","Zambia","2070-2075","30--34",1,1,0.954,7,2070,2075
"SSP2","Zambia","2015-2020","35--39",1,1,0.936,8,2015,2020
"SSP2","Zambia","2020-2025","35--39",1,1,0.956,8,2020,2025
"SSP2","Zambia","2025-2030","35--39",1,1,0.959,8,2025,2030
"SSP2","Zambia","2030-2035","35--39",1,1,0.961,8,2030,2035
"SSP2","Zambia","2035-2040","35--39",1,1,0.963,8,2035,2040
"SSP2","Zambia","2040-2045","35--39",1,1,0.965,8,2040,2045
"SSP2","Zambia","2045-2050","35--39",1,1,0.967,8,2045,2050
"SSP2","Zambia","2050-2055","35--39",1,1,0.969,8,2050,2055
"SSP2","Zambia","2055-2060","35--39",1,1,0.971,8,2055,2060
"SSP2","Zambia","2060-2065","35--39",1,1,0.938,8,2060,2065
"SSP2","Zambia","2065-2070","35--39",1,1,0.939,8,2065,2070
"SSP2","Zambia","2070-2075","35--39",1,1,0.942,8,2070,2075
"SSP2","Zambia","2015-2020","40--44",1,1,0.928,9,2015,2020
"SSP2","Zambia","2020-2025","40--44",1,1,0.949,9,2020,2025
"SSP2","Zambia","2025-2030","40--44",1,1,0.952,9,2025,2030
"SSP2","Zambia","2030-2035","40--44",1,1,0.954,9,2030,2035
"SSP2","Zambia","2035-2040","40--44",1,1,0.956,9,2035,2040
"SSP2","Zambia","2040-2045","40--44",1,1,0.958,9,2040,2045
"SSP2","Zambia","2045-2050","40--44",1,1,0.96,9,2045,2050
"SSP2","Zambia","2050-2055","40--44",1,1,0.962,9,2050,2055
"SSP2","Zambia","2055-2060","40--44",1,1,0.964,9,2055,2060
"SSP2","Zambia","2060-2065","40--44",1,1,0.929,9,2060,2065
"SSP2","Zambia","2065-2070","40--44",1,1,0.931,9,2065,2070
"SSP2","Zambia","2070-2075","40--44",1,1,0.933,9,2070,2075
"SSP2","Zambia","2015-2020","45--49",1,1,0.918,10,2015,2020
"SSP2","Zambia","2020-2025","45--49",1,1,0.937,10,2020,2025
"SSP2","Zambia","2025-2030","45--49",1,1,0.939,10,2025,2030
"SSP2","Zambia","2030-2035","45--49",1,1,0.941,10,2030,2035
"SSP2","Zambia","2035-2040","45--49",1,1,0.943,10,2035,2040
"SSP2","Zambia","2040-2045","45--49",1,1,0.945,10,2040,2045
"SSP2","Zambia","2045-2050","45--49",1,1,0.947,10,2045,2050
"SSP2","Zambia","2050-2055","45--49",1,1,0.949,10,2050,2055
"SSP2","Zambia","2055-2060","45--49",1,1,0.951,10,2055,2060
"SSP2","Zambia","2060-2065","45--49",1,1,0.919,10,2060,2065
"SSP2","Zambia","2065-2070","45--49",1,1,0.92,10,2065,2070
"SSP2","Zambia","2070-2075","45--49",1,1,0.922,10,2070,2075
"SSP2","Zambia","2015-2020","50--54",1,1,0.906,11,2015,2020
"SSP2","Zambia","2020-2025","50--54",1,1,0.92,11,2020,2025
"SSP2","Zambia","2025-2030","50--54",1,1,0.922,11,2025,2030
"SSP2","Zambia","2030-2035","50--54",1,1,0.924,11,2030,2035
"SSP2","Zambia","2035-2040","50--54",1,1,0.926,11,2035,2040
"SSP2","Zambia","2040-2045","50--54",1,1,0.928,11,2040,2045
"SSP2","Zambia","2045-2050","50--54",1,1,0.93,11,2045,2050
"SSP2","Zambia","2050-2055","50--54",1,1,0.932,11,2050,2055
"SSP2","Zambia","2055-2060","50--54",1,1,0.934,11,2055,2060
"SSP2","Zambia","2060-2065","50--54",1,1,0.907,11,2060,2065
"SSP2","Zambia","2065-2070","50--54",1,1,0.908,11,2065,2070
"SSP2","Zambia","2070-2075","50--54",1,1,0.909,11,2070,2075
"SSP2","Zambia","2015-2020","55--59",1,1,0.887,12,2015,2020
"SSP2","Zambia","2020-2025","55--59",1,1,0.896,12,2020,2025
"SSP2","Zambia","2025-2030","55--59",1,1,0.898,12,2025,2030
"SSP2","Zambia","2030-2035","55--59",1,1,0.899,12,2030,2035
"SSP2","Zambia","2035-2040","55--59",1,1,0.901,12,2035,2040
"SSP2","Zambia","2040-2045","55--59",1,1,0.903,12,2040,2045
"SSP2","Zambia","2045-2050","55--59",1,1,0.905,12,2045,2050
"SSP2","Zambia","2050-2055","55--59",1,1,0.908,12,2050,2055
"SSP2","Zambia","2055-2060","55--59",1,1,0.91,12,2055,2060
"SSP2","Zambia","2060-2065","55--59",1,1,0.888,12,2060,2065
"SSP2","Zambia","2065-2070","55--59",1,1,0.888,12,2065,2070
"SSP2","Zambia","2070-2075","55--59",1,1,0.889,12,2070,2075
"SSP2","Zambia","2015-2020","60--64",1,1,0.849,13,2015,2020
"SSP2","Zambia","2020-2025","60--64",1,1,0.855,13,2020,2025
"SSP2","Zambia","2025-2030","60--64",1,1,0.855,13,2025,2030
"SSP2","Zambia","2030-2035","60--64",1,1,0.856,13,2030,2035
"SSP2","Zambia","2035-2040","60--64",1,1,0.858,13,2035,2040
"SSP2","Zambia","2040-2045","60--64",1,1,0.86,13,2040,2045
"SSP2","Zambia","2045-2050","60--64",1,1,0.862,13,2045,2050
"SSP2","Zambia","2050-2055","60--64",1,1,0.865,13,2050,2055
"SSP2","Zambia","2055-2060","60--64",1,1,0.868,13,2055,2060
"SSP2","Zambia","2060-2065","60--64",1,1,0.849,13,2060,2065
"SSP2","Zambia","2065-2070","60--64",1,1,0.85,13,2065,2070
"SSP2","Zambia","2070-2075","60--64",1,1,0.851,13,2070,2075
"SSP2","Zambia","2015-2020","65--69",1,1,0.791,14,2015,2020
"SSP2","Zambia","2020-2025","65--69",1,1,0.797,14,2020,2025
"SSP2","Zambia","2025-2030","65--69",1,1,0.797,14,2025,2030
"SSP2","Zambia","2030-2035","65--69",1,1,0.797,14,2030,2035
"SSP2","Zambia","2035-2040","65--69",1,1,0.798,14,2035,2040
"SSP2","Zambia","2040-2045","65--69",1,1,0.8,14,2040,2045
"SSP2","Zambia","2045-2050","65--69",1,1,0.803,14,2045,2050
"SSP2","Zambia","2050-2055","65--69",1,1,0.807,14,2050,2055
"SSP2","Zambia","2055-2060","65--69",1,1,0.811,14,2055,2060
"SSP2","Zambia","2060-2065","65--69",1,1,0.791,14,2060,2065
"SSP2","Zambia","2065-2070","65--69",1,1,0.792,14,2065,2070
"SSP2","Zambia","2070-2075","65--69",1,1,0.793,14,2070,2075
"SSP2","Zambia","2015-2020","70--74",1,1,0.704,15,2015,2020
"SSP2","Zambia","2020-2025","70--74",1,1,0.713,15,2020,2025
"SSP2","Zambia","2025-2030","70--74",1,1,0.714,15,2025,2030
"SSP2","Zambia","2030-2035","70--74",1,1,0.714,15,2030,2035
"SSP2","Zambia","2035-2040","70--74",1,1,0.715,15,2035,2040
"SSP2","Zambia","2040-2045","70--74",1,1,0.717,15,2040,2045
"SSP2","Zambia","2045-2050","70--74",1,1,0.721,15,2045,2050
"SSP2","Zambia","2050-2055","70--74",1,1,0.725,15,2050,2055
"SSP2","Zambia","2055-2060","70--74",1,1,0.73,15,2055,2060
"SSP2","Zambia","2060-2065","70--74",1,1,0.704,15,2060,2065
"SSP2","Zambia","2065-2070","70--74",1,1,0.706,15,2065,2070
"SSP2","Zambia","2070-2075","70--74",1,1,0.707,15,2070,2075
"SSP2","Zambia","2015-2020","75--79",1,1,0.585,16,2015,2020
"SSP2","Zambia","2020-2025","75--79",1,1,0.6,16,2020,2025
"SSP2","Zambia","2025-2030","75--79",1,1,0.601,16,2025,2030
"SSP2","Zambia","2030-2035","75--79",1,1,0.602,16,2030,2035
"SSP2","Zambia","2035-2040","75--79",1,1,0.603,16,2035,2040
"SSP2","Zambia","2040-2045","75--79",1,1,0.606,16,2040,2045
"SSP2","Zambia","2045-2050","75--79",1,1,0.609,16,2045,2050
"SSP2","Zambia","2050-2055","75--79",1,1,0.614,16,2050,2055
"SSP2","Zambia","2055-2060","75--79",1,1,0.619,16,2055,2060
"SSP2","Zambia","2060-2065","75--79",1,1,0.586,16,2060,2065
"SSP2","Zambia","2065-2070","75--79",1,1,0.588,16,2065,2070
"SSP2","Zambia","2070-2075","75--79",1,1,0.59,16,2070,2075
"SSP2","Zambia","2015-2020","80--84",1,1,0.437,17,2015,2020
"SSP2","Zambia","2020-2025","80--84",1,1,0.456,17,2020,2025
"SSP2","Zambia","2025-2030","80--84",1,1,0.458,17,2025,2030
"SSP2","Zambia","2030-2035","80--84",1,1,0.46,17,2030,2035
"SSP2","Zambia","2035-2040","80--84",1,1,0.462,17,2035,2040
"SSP2","Zambia","2040-2045","80--84",1,1,0.465,17,2040,2045
"SSP2","Zambia","2045-2050","80--84",1,1,0.469,17,2045,2050
"SSP2","Zambia","2050-2055","80--84",1,1,0.473,17,2050,2055
"SSP2","Zambia","2055-2060","80--84",1,1,0.478,17,2055,2060
"SSP2","Zambia","2060-2065","80--84",1,1,0.439,17,2060,2065
"SSP2","Zambia","2065-2070","80--84",1,1,0.441,17,2065,2070
"SSP2","Zambia","2070-2075","80--84",1,1,0.443,17,2070,2075
"SSP2","Zambia","2015-2020","85--89",1,1,0.284,18,2015,2020
"SSP2","Zambia","2020-2025","85--89",1,1,0.301,18,2020,2025
"SSP2","Zambia","2025-2030","85--89",1,1,0.304,18,2025,2030
"SSP2","Zambia","2030-2035","85--89",1,1,0.306,18,2030,2035
"SSP2","Zambia","2035-2040","85--89",1,1,0.308,18,2035,2040
"SSP2","Zambia","2040-2045","85--89",1,1,0.311,18,2040,2045
"SSP2","Zambia","2045-2050","85--89",1,1,0.316,18,2045,2050
"SSP2","Zambia","2050-2055","85--89",1,1,0.32,18,2050,2055
"SSP2","Zambia","2055-2060","85--89",1,1,0.326,18,2055,2060
"SSP2","Zambia","2060-2065","85--89",1,1,0.286,18,2060,2065
"SSP2","Zambia","2065-2070","85--89",1,1,0.288,18,2065,2070
"SSP2","Zambia","2070-2075","85--89",1,1,0.29,18,2070,2075
"SSP2","Zambia","2015-2020","90--94",1,1,0.159,19,2015,2020
"SSP2","Zambia","2020-2025","90--94",1,1,0.171,19,2020,2025
"SSP2","Zambia","2025-2030","90--94",1,1,0.173,19,2025,2030
"SSP2","Zambia","2030-2035","90--94",1,1,0.174,19,2030,2035
"SSP2","Zambia","2035-2040","90--94",1,1,0.176,19,2035,2040
"SSP2","Zambia","2040-2045","90--94",1,1,0.179,19,2040,2045
"SSP2","Zambia","2045-2050","90--94",1,1,0.182,19,2045,2050
"SSP2","Zambia","2050-2055","90--94",1,1,0.185,19,2050,2055
"SSP2","Zambia","2055-2060","90--94",1,1,0.19,19,2055,2060
"SSP2","Zambia","2060-2065","90--94",1,1,0.16,19,2060,2065
"SSP2","Zambia","2065-2070","90--94",1,1,0.162,19,2065,2070
"SSP2","Zambia","2070-2075","90--94",1,1,0.163,19,2070,2075
"SSP2","Zambia","2015-2020","95+",1,1,0.084,20,2015,2020
"SSP2","Zambia","2020-2025","95+",1,1,0.089,20,2020,2025
"SSP2","Zambia","2025-2030","95+",1,1,0.09,20,2025,2030
"SSP2","Zambia","2030-2035","95+",1,1,0.09,20,2030,2035
"SSP2","Zambia","2035-2040","95+",1,1,0.091,20,2035,2040
"SSP2","Zambia","2040-2045","95+",1,1,0.093,20,2040,2045
"SSP2","Zambia","2045-2050","95+",1,1,0.094,20,2045,2050
"SSP2","Zambia","2050-2055","95+",1,1,0.096,20,2050,2055
"SSP2","Zambia","2055-2060","95+",1,1,0.098,20,2055,2060
"SSP2","Zambia","2060-2065","95+",1,1,0.084,20,2060,2065
"SSP2","Zambia","2065-2070","95+",1,1,0.085,20,2065,2070
"SSP2","Zambia","2070-2075","95+",1,1,0.086,20,2070,2075
"SSP2","Zambia","2015-2020","Newborn",2,1,0.942,0,2015,2020
"SSP2","Zambia","2020-2025","Newborn",2,1,0.953,0,2020,2025
"SSP2","Zambia","2025-2030","Newborn",2,1,0.954,0,2025,2030
"SSP2","Zambia","2030-2035","Newborn",2,1,0.956,0,2030,2035
"SSP2","Zambia","2035-2040","Newborn",2,1,0.957,0,2035,2040
"SSP2","Zambia","2040-2045","Newborn",2,1,0.959,0,2040,2045
"SSP2","Zambia","2045-2050","Newborn",2,1,0.96,0,2045,2050
"SSP2","Zambia","2050-2055","Newborn",2,1,0.961,0,2050,2055
"SSP2","Zambia","2055-2060","Newborn",2,1,0.963,0,2055,2060
"SSP2","Zambia","2060-2065","Newborn",2,1,0.943,0,2060,2065
"SSP2","Zambia","2065-2070","Newborn",2,1,0.945,0,2065,2070
"SSP2","Zambia","2070-2075","Newborn",2,1,0.947,0,2070,2075
"SSP2","Zambia","2015-2020","0--4",2,1,0.984,1,2015,2020
"SSP2","Zambia","2020-2025","0--4",2,1,0.989,1,2020,2025
"SSP2","Zambia","2025-2030","0--4",2,1,0.989,1,2025,2030
"SSP2","Zambia","2030-2035","0--4",2,1,0.99,1,2030,2035
"SSP2","Zambia","2035-2040","0--4",2,1,0.99,1,2035,2040
"SSP2","Zambia","2040-2045","0--4",2,1,0.991,1,2040,2045
"SSP2","Zambia","2045-2050","0--4",2,1,0.991,1,2045,2050
"SSP2","Zambia","2050-2055","0--4",2,1,0.992,1,2050,2055
"SSP2","Zambia","2055-2060","0--4",2,1,0.992,1,2055,2060
"SSP2","Zambia","2060-2065","0--4",2,1,0.982,1,2060,2065
"SSP2","Zambia","2065-2070","0--4",2,1,0.984,1,2065,2070
"SSP2","Zambia","2070-2075","0--4",2,1,0.985,1,2070,2075
"SSP2","Zambia","2015-2020","5--9",2,1,0.992,2,2015,2020
"SSP2","Zambia","2020-2025","5--9",2,1,0.995,2,2020,2025
"SSP2","Zambia","2025-2030","5--9",2,1,0.995,2,2025,2030
"SSP2","Zambia","2030-2035","5--9",2,1,0.995,2,2030,2035
"SSP2","Zambia","2035-2040","5--9",2,1,0.996,2,2035,2040
"SSP2","Zambia","2040-2045","5--9",2,1,0.996,2,2040,2045
"SSP2","Zambia","2045-2050","5--9",2,1,0.996,2,2045,2050
"SSP2","Zambia","2050-2055","5--9",2,1,0.996,2,2050,2055
"SSP2","Zambia","2055-2060","5--9",2,1,0.996,2,2055,2060
"SSP2","Zambia","2060-2065","5--9",2,1,0.992,2,2060,2065
"SSP2","Zambia","2065-2070","5--9",2,1,0.992,2,2065,2070
"SSP2","Zambia","2070-2075","5--9",2,1,0.993,2,2070,2075
"SSP2","Zambia","2015-2020","10--14",2,1,0.992,3,2015,2020
"SSP2","Zambia","2020-2025","10--14",2,1,0.994,3,2020,2025
"SSP2","Zambia","2025-2030","10--14",2,1,0.994,3,2025,2030
"SSP2","Zambia","2030-2035","10--14",2,1,0.994,3,2030,2035
"SSP2","Zambia","2035-2040","10--14",2,1,0.995,3,2035,2040
"SSP2","Zambia","2040-2045","10--14",2,1,0.995,3,2040,2045
"SSP2","Zambia","2045-2050","10--14",2,1,0.995,3,2045,2050
"SSP2","Zambia","2050-2055","10--14",2,1,0.995,3,2050,2055
"SSP2","Zambia","2055-2060","10--14",2,1,0.995,3,2055,2060
"SSP2","Zambia","2060-2065","10--14",2,1,0.993,3,2060,2065
"SSP2","Zambia","2065-2070","10--14",2,1,0.993,3,2065,2070
"SSP2","Zambia","2070-2075","10--14",2,1,0.992,3,2070,2075
"SSP2","Zambia","2015-2020","15--19",2,1,0.987,4,2015,2020
"SSP2","Zambia","2020-2025","15--19",2,1,0.991,4,2020,2025
"SSP2","Zambia","2025-2030","15--19",2,1,0.992,4,2025,2030
"SSP2","Zambia","2030-2035","15--19",2,1,0.992,4,2030,2035
"SSP2","Zambia","2035-2040","15--19",2,1,0.993,4,2035,2040
"SSP2","Zambia","2040-2045","15--19",2,1,0.993,4,2040,2045
"SSP2","Zambia","2045-2050","15--19",2,1,0.993,4,2045,2050
"SSP2","Zambia","2050-2055","15--19",2,1,0.994,4,2050,2055
"SSP2","Zambia","2055-2060","15--19",2,1,0.994,4,2055,2060
"SSP2","Zambia","2060-2065","15--19",2,1,0.987,4,2060,2065
"SSP2","Zambia","2065-2070","15--19",2,1,0.987,4,2065,2070
"SSP2","Zambia","2070-2075","15--19",2,1,0.988,4,2070,2075
"SSP2","Zambia","2015-2020","20--24",2,1,0.982,5,2015,2020
"SSP2","Zambia","2020-2025","20--24",2,1,0.987,5,2020,2025
"SSP2","Zambia","2025-2030","20--24",2,1,0.988,5,2025,2030
"SSP2","Zambia","2030-2035","20--24",2,1,0.988,5,2030,2035
"SSP2","Zambia","2035-2040","20--24",2,1,0.989,5,2035,2040
"SSP2","Zambia","2040-2045","20--24",2,1,0.989,5,2040,2045
"SSP2","Zambia","2045-2050","20--24",2,1,0.99,5,2045,2050
"SSP2","Zambia","2050-2055","20--24",2,1,0.99,5,2050,2055
"SSP2","Zambia","2055-2060","20--24",2,1,0.991,5,2055,2060
"SSP2","Zambia","2060-2065","20--24",2,1,0.982,5,2060,2065
"SSP2","Zambia","2065-2070","20--24",2,1,0.983,5,2065,2070
"SSP2","Zambia","2070-2075","20--24",2,1,0.983,5,2070,2075
"SSP2","Zambia","2015-2020","25--29",2,1,0.977,6,2015,2020
"SSP2","Zambia","2020-2025","25--29",2,1,0.983,6,2020,2025
"SSP2","Zambia","2025-2030","25--29",2,1,0.984,6,2025,2030
"SSP2","Zambia","2030-2035","25--29",2,1,0.985,6,2030,2035
"SSP2","Zambia","2035-2040","25--29",2,1,0.986,6,2035,2040
"SSP2","Zambia","2040-2045","25--29",2,1,0.987,6,2040,2045
"SSP2","Zambia","2045-2050","25--29",2,1,0.987,6,2045,2050
"SSP2","Zambia","2050-2055","25--29",2,1,0.988,6,2050,2055
"SSP2","Zambia","2055-2060","25--29",2,1,0.989,6,2055,2060
"SSP2","Zambia","2060-2065","25--29",2,1,0.977,6,2060,2065
"SSP2","Zambia","2065-2070","25--29",2,1,0.978,6,2065,2070
"SSP2","Zambia","2070-2075","25--29",2,1,0.979,6,2070,2075
"SSP2","Zambia","2015-2020","30--34",2,1,0.971,7,2015,2020
"SSP2","Zambia","2020-2025","30--34",2,1,0.98,7,2020,2025
"SSP2","Zambia","2025-2030","30--34",2,1,0.981,7,2025,2030
"SSP2","Zambia","2030-2035","30--34",2,1,0.982,7,2030,2035
"SSP2","Zambia","2035-2040","30--34",2,1,0.983,7,2035,2040
"SSP2","Zambia","2040-2045","30--34",2,1,0.984,7,2040,2045
"SSP2","Zambia","2045-2050","30--34",2,1,0.985,7,2045,2050
"SSP2","Zambia","2050-2055","30--34",2,1,0.985,7,2050,2055
"SSP2","Zambia","2055-2060","30--34",2,1,0.986,7,2055,2060
"SSP2","Zambia","2060-2065","30--34",2,1,0.972,7,2060,2065
"SSP2","Zambia","2065-2070","30--34",2,1,0.973,7,2065,2070
"SSP2","Zambia","2070-2075","30--34",2,1,0.974,7,2070,2075
"SSP2","Zambia","2015-2020","35--39",2,1,0.964,8,2015,2020
"SSP2","Zambia","2020-2025","35--39",2,1,0.974,8,2020,2025
"SSP2","Zambia","2025-2030","35--39",2,1,0.975,8,2025,2030
"SSP2","Zambia","2030-2035","35--39",2,1,0.976,8,2030,2035
"SSP2","Zambia","2035-2040","35--39",2,1,0.977,8,2035,2040
"SSP2","Zambia","2040-2045","35--39",2,1,0.979,8,2040,2045
"SSP2","Zambia","2045-2050","35--39",2,1,0.98,8,2045,2050
"SSP2","Zambia","2050-2055","35--39",2,1,0.981,8,2050,2055
"SSP2","Zambia","2055-2060","35--39",2,1,0.982,8,2055,2060
"SSP2","Zambia","2060-2065","35--39",2,1,0.965,8,2060,2065
"SSP2","Zambia","2065-2070","35--39",2,1,0.966,8,2065,2070
"SSP2","Zambia","2070-2075","35--39",2,1,0.967,8,2070,2075
"SSP2","Zambia","2015-2020","40--44",2,1,0.959,9,2015,2020
"SSP2","Zambia","2020-2025","40--44",2,1,0.968,9,2020,2025
"SSP2","Zambia","2025-2030","40--44",2,1,0.969,9,2025,2030
"SSP2","Zambia","2030-2035","40--44",2,1,0.971,9,2030,2035
"SSP2","Zambia","2035-2040","40--44",2,1,0.972,9,2035,2040
"SSP2","Zambia","2040-2045","40--44",2,1,0.973,9,2040,2045
"SSP2","Zambia","2045-2050","40--44",2,1,0.974,9,2045,2050
"SSP2","Zambia","2050-2055","40--44",2,1,0.975,9,2050,2055
"SSP2","Zambia","2055-2060","40--44",2,1,0.976,9,2055,2060
"SSP2","Zambia","2060-2065","40--44",2,1,0.96,9,2060,2065
"SSP2","Zambia","2065-2070","40--44",2,1,0.96,9,2065,2070
"SSP2","Zambia","2070-2075","40--44",2,1,0.961,9,2070,2075
"SSP2","Zambia","2015-2020","45--49",2,1,0.952,10,2015,2020
"SSP2","Zambia","2020-2025","45--49",2,1,0.959,10,2020,2025
"SSP2","Zambia","2025-2030","45--49",2,1,0.961,10,2025,2030
"SSP2","Zambia","2030-2035","45--49",2,1,0.962,10,2030,2035
"SSP2","Zambia","2035-2040","45--49",2,1,0.963,10,2035,2040
